장례식장명,항목,호실/상세,가격(만원)
"(유)신광 익산병원장례식장","장례식장 임대료","시간당",1.8
"(유)신광 익산병원장례식장","장례식장 임대료","시간당",3.2
"(유)신광 익산병원장례식장","장례식장 임대료","1회",30
"(유)신광 익산병원장례식장","안치료","시간당",0.5
"(유)신광 익산병원장례식장","염습료","1회",30
"(유)신광 익산병원장례식장","염습료","1회",10
"(유)예수병원장례식장","장례식장 임대료","VIP실",83.3
"(유)예수병원장례식장","장례식장 임대료","203호/65평형/3일장기준:7000",23.3
"(유)예수병원장례식장","장례식장 임대료","202호/100평형/3일장기준:150",50
"(유)예수병원장례식장","장례식장 임대료","201호/75평형/3일장기준:8500",28.3
"(유)예수병원장례식장","장례식장 임대료","101호/85평형/3일장기준:1000",33.3
"(유)예수병원장례식장","장례식장 임대료","특실",60
"(유)예수병원장례식장","안치료","1일/24시간 기준",8
"(유)예수병원장례식장","염습료","상조/자체입관",30
"(유)예수병원장례식장","염습료","주간",30
"(유)예수병원장례식장","염습료","초렴",15
"(유)우석개발","장례식장 임대료","60평형(24시간)/일",52.8
"(유)우석개발","장례식장 임대료","45평형(24시간)/일",43.2
"(유)우석개발","장례식장 임대료","70평형(24시간)/일",64.8
"(유)우석개발","장례식장 임대료","140평형(24시간)/일",72
"(유)우석개발","장례식장 임대료","105평형(24시간)일",62.4
"(유)우석개발","안치료","시간/5000",12
"(유)은파장례문화원","장례식장 임대료","특실",7.9
"(유)은파장례문화원","장례식장 임대료","특실",7
"(유)은파장례문화원","장례식장 임대료","VIP실",9.5
"(유)은파장례문화원","장례식장 임대료","일반실",4.9
"(유)은파장례문화원","염습료","1회",40
"(유)익산팔봉장례식장","장례식장 임대료","특실",3.3
"(유)익산팔봉장례식장","장례식장 임대료","일반실",2.5
"(유)익산팔봉장례식장","장례식장 임대료","일반실",2.5
"(유)익산팔봉장례식장","안치료","1시간당",0.5
"(유)익산팔봉장례식장","염습료","대렴 및 입관 2인",40
"(유)익산팔봉장례식장","염습료","대렴 및 입관 2인",30
"(유)익산팔봉장례식장","염습료","1회 이용료",30
"(유)익산팔봉장례식장","염습료","수시및안치 2인",20
"(유)한솔장례식장","장례식장 임대료","1층 1호실 / 100평 / 시간당",2.2
"(유)한솔장례식장","장례식장 임대료","1층 2호실 / 70평 / 시간당",2
"(유)한솔장례식장","장례식장 임대료","2층 3호실 / 110평 / 시간당",2.2
"(유)한솔장례식장","장례식장 임대료","VIP실",3.3
"(유)한솔장례식장","장례식장 임대료","회당",30
"(유)한솔장례식장","안치료","시간당",0.5
"(유)한솔장례식장","염습료","1구당",30
"(유)한솔장례식장","염습료","1구당",10
"(의)동재의료재단오차드장례식장","장례식장 임대료","특3호실",180
"(의)동재의료재단오차드장례식장","장례식장 임대료","특2호실",180
"(의)동재의료재단오차드장례식장","장례식장 임대료","특1호실",190
"(의)동재의료재단오차드장례식장","장례식장 임대료","2박3일",20
"(의)동재의료재단오차드장례식장","안치료","2박3일",40
"(의)동재의료재단오차드장례식장","염습료","초렴",10
"(재)하늘가장례식장","장례식장 임대료","상주휴게실접객실빈소샤워실주방",108
"(재)하늘가장례식장","장례식장 임대료","상주휴게실접객실빈소샤워실주방",72
"(재)하늘가장례식장","장례식장 임대료","상주휴게실접객실빈소샤워실주방",48
"(재)하늘가장례식장","장례식장 임대료","회의실상주휴계실 2실접객실빈소샤워실주",144
"(재)하늘가장례식장","장례식장 임대료","자체입관",30
"(재)하늘가장례식장","장례식장 임대료","발인 및 종교행사 예식실",10
"(재)하늘가장례식장","안치료","안치냉장고사용료",12
"(재)하늘가장례식장","염습료","수시초혼비",20
"(주) 비이케이더블유 좋은장례식장","장례식장 임대료","1회",20
"(주) 비이케이더블유 좋은장례식장","안치료","1일",15
"(주) 비이케이더블유 좋은장례식장","염습료","장례지도사 2명",30
"(주) 비케이더블유 좋은강안병원지점","장례식장 임대료","입관실 사용료",20
"(주) 비케이더블유 좋은강안병원지점","안치료","1일 100000 시간4000",10
"(주) 비케이더블유 좋은강안병원지점","염습료","2인1조",30
"(주)광양장례식장","장례식장 임대료","1일",80
"(주)광양장례식장","장례식장 임대료","1일",105
"(주)광양장례식장","장례식장 임대료","1일",50
"(주)광양장례식장","장례식장 임대료","1일",5
"(주)광양장례식장","장례식장 임대료","1일",4
"(주)광양장례식장","안치료","1일",20
"(주)광주국빈장례문화원","장례식장 임대료","입실~퇴실 100석",170
"(주)광주국빈장례문화원","장례식장 임대료","입실~퇴실 100석",160
"(주)광주국빈장례문화원","장례식장 임대료","입실~퇴실 110석",260
"(주)광주국빈장례문화원","장례식장 임대료","입실~퇴실 80석",150
"(주)광주국빈장례문화원","장례식장 임대료","1회",30
"(주)광주국빈장례문화원","안치료","1일",10
"(주)광주국빈장례문화원","염습료","수시/검시",10
"(주)구례장례식장","안치료","1일 80000원 / 시간당 3300",8
"(주)구례장례식장","염습료","1회",30
"(주)구례장례식장","염습료","1회",15
"(주)금성장례식장","장례식장 임대료","1실/24시간/3일간",150
"(주)금성장례식장","장례식장 임대료","1실/24시간/3일간",90
"(주)금성장례식장","장례식장 임대료","1실/24시간/3일간",120
"(주)금성장례식장","안치료","1일",8
"(주)금성장례식장","염습료","1구당",30
"(주)금성장례식장","염습료","1구당",10
"(주)기흥장례식장","안치료","1시간 (2900)",7
"(주)기흥장례식장","염습료","1회",30
"(주)기흥장례식장","염습료","1회",20
"(주)디엑스앤브이엑스 제천지점 장례식장","안치료","시간",0.3
"(주)디엑스앤브이엑스 제천지점 장례식장","염습료","1회",20
"(주)디엑스앤브이엑스 제천지점 장례식장","염습료","회",50
"(주)디엑스앤브이엑스 제천지점 장례식장","염습료","1회",10
"(주)디엑스앤브이엑스 제천지점 장례식장","염습료","회",20
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(397m2)",170
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(264m2)",130
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(198m2)",30
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(132m2)",25
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(463m2)",220
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(528m2)",240
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(231m2)",100
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(33m2)",10
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(66m2)",15
"(주)모악장례문화원","장례식장 임대료","1실/24시간 기준(99m2)",20
"(주)모악장례문화원","안치료","1일",8
"(주)모악장례문화원","염습료","1회",30
"(주)모악장례문화원","염습료","1회",15
"(주)비이케이더블유 좋은삼선병원지점","장례식장 임대료","1회기준",20
"(주)비이케이더블유 좋은삼선병원지점","안치료","24시간 기준",10
"(주)서원 바른장례식장","장례식장 임대료","40 평 / 1시간",1.5
"(주)서원 바른장례식장","장례식장 임대료","60 평 / 1시간",2
"(주)서원 바른장례식장","장례식장 임대료","80 평 / 1시간",2.5
"(주)서원 바른장례식장","장례식장 임대료","100 평/ 1시간",3
"(주)서원 바른장례식장","장례식장 임대료","1일사용",3
"(주)서원 바른장례식장","장례식장 임대료","1시간",0.3
"(주)서원 바른장례식장","장례식장 임대료","1회사용",20
"(주)서원 바른장례식장","장례식장 임대료","1회사용",5
"(주)서원 바른장례식장","염습료","사고",45
"(주)서원 바른장례식장","염습료","고인메이크업",5
"(주)서원 바른장례식장","염습료","생화꽃장식",5
"(주)서원 바른장례식장","염습료","병사",25
"(주)서원 바른장례식장","염습료","야간",35
"(주)서원 바른장례식장","염습료","병사",10
"(주)세종병원장례식장","장례식장 임대료","1회",35
"(주)세종병원장례식장","안치료","시간 6000 /1일 144000",14.4
"(주)시민장례식장","장례식장 임대료","1회",20
"(주)시민장례식장","안치료","1일",10
"(주)시민장례식장","염습료","2명",30
"(주)안면도장례식장","장례식장 임대료","320 m2  (97평형)(1시간당)",2
"(주)안면도장례식장","장례식장 임대료","264 m2 (80평형)(1시간당)",2
"(주)안면도장례식장","장례식장 임대료","264 m2 (80평형)(1시간당)",1.5
"(주)안면도장례식장","장례식장 임대료","280 m2 (85평형)(1시간당)",1.5
"(주)안면도장례식장","장례식장 임대료","입관부터-발인까지 1시간당",0.3
"(주)안면도장례식장","안치료","안치부터 발인까지 1시간당",0.3
"(주)영천장례식장","안치료","1일기준 (시간당 3000원)",7.2
"(주)영천장례식장(영남대학교영천병원지점)","장례식장 임대료","60평",2.5
"(주)영천장례식장(영남대학교영천병원지점)","장례식장 임대료","30평",2.1
"(주)영천장례식장(영남대학교영천병원지점)","장례식장 임대료","28평",1.9
"(주)영천장례식장(영남대학교영천병원지점)","장례식장 임대료","용역상조이용시 청구",30
"(주)영천장례식장(영남대학교영천병원지점)","안치료","시간",0.5
"(주)예담 활주로장례식장","염습료","1회",30
"(주)예담 활주로장례식장","염습료","1회",10
"(주)울산국화원장례식장 북울산지점","장례식장 임대료","1일 / 24시간",96
"(주)울산국화원장례식장 북울산지점","장례식장 임대료","1일 / 24시간",75
"(주)울산국화원장례식장 북울산지점","장례식장 임대료","1일 / 24시간",96
"(주)울산국화원장례식장 북울산지점","장례식장 임대료","1회",20
"(주)울산국화원장례식장 북울산지점","안치료","1일 / 24시간",12
"(주)울산국화원장례식장 북울산지점","염습료","1회(2人)",30
"(주)울산국화원장례식장 북울산지점","염습료","닭두부동그랑땡부추전동태전삼색산적조기본",15
"(주)원지산청장례식장","장례식장 임대료","1회",30
"(주)원지산청장례식장","안치료","24시간",10
"(주)장례식장아시아드","장례식장 임대료","분향실 접객실 상주방 샤워실 화장실",60
"(주)장례식장아시아드","장례식장 임대료","분향실 접객실 귀빈실 상주방 샤워실 ",119
"(주)장례식장아시아드","장례식장 임대료","분향실 접객실 상주방 샤워실 화장실",45
"(주)장례식장아시아드","장례식장 임대료","분향실 접객실 귀빈실 상주방 샤워실 ",119
"(주)장례식장아시아드","장례식장 임대료","분향실 접객실 상주방 샤워실 화장실",45
"(주)장례식장아시아드","장례식장 임대료","분향실 접객실 상주방 샤워실 화장실",60
"(주)장례식장아시아드","장례식장 임대료","분향실 접객실 상주방 샤워실 화장실",45
"(주)장례식장아시아드","장례식장 임대료","1회",20
"(주)장례식장아시아드","안치료","1일 기준",15
"(주)장례식장아시아드","염습료","장례지도사 2인",30
"(주)제이엔에이실업","장례식장 임대료","1일",52
"(주)제이엔에이실업","장례식장 임대료","1일",70
"(주)제이엔에이실업","안치료","발인까지",30
"(주)중앙병원장례식장","장례식장 임대료","30평-1일24시간 기준",40
"(주)중앙병원장례식장","장례식장 임대료","70평-1일24시간 기준",72
"(주)중앙병원장례식장","장례식장 임대료","70평-1일24시간 기준",76
"(주)중앙병원장례식장","장례식장 임대료","95평-1일24시간 기준",96
"(주)중앙병원장례식장","염습료","염습비",30
"(주)착한전문장례식장","장례식장 임대료","1실/24시간 기준",50
"(주)착한전문장례식장","장례식장 임대료","1실/24시간 기준",114
"(주)착한전문장례식장","장례식장 임대료","1실/24시간 기준",142
"(주)착한전문장례식장","장례식장 임대료","1실/24시간 기준",68
"(주)착한전문장례식장","장례식장 임대료","1실/24시간 기준",68
"(주)착한전문장례식장","장례식장 임대료","1실/24시간 기준",68
"(주)착한전문장례식장","장례식장 임대료","1실/24시간 기준",34
"(주)착한전문장례식장","장례식장 임대료","1실/24시간 기준",68
"(주)착한전문장례식장","장례식장 임대료","1실/24시간 기준",142
"(주)착한전문장례식장","안치료","1일",10
"(주)천지문화원 (천지장례식장)","장례식장 임대료","2박3일 기준",210
"(주)천지문화원 (천지장례식장)","장례식장 임대료","2박3일 기준",120
"(주)천지문화원 (천지장례식장)","장례식장 임대료","2박3일 기준",290
"(주)천지문화원 (천지장례식장)","장례식장 임대료","2박3일 기준",250
"(주)천지문화원 (천지장례식장)","장례식장 임대료","2박3일 기준",180
"(주)천지문화원 (천지장례식장)","안치료","1일 기준",10
"(주)천지문화원 (천지장례식장)","염습료","소렴[염습료]",40
"(주)천지문화원 (천지장례식장)","염습료","초렴[수시/검시]",10
"(주)코스모스제일장례식장","장례식장 임대료","50평(빈소 접객실 가족휴게실)",50
"(주)코스모스제일장례식장","장례식장 임대료","200평(빈소 접객실 가족휴게실)",150
"(주)코스모스제일장례식장","장례식장 임대료","100평(빈소 접객실 가족휴게실)",100
"(주)코스모스제일장례식장","장례식장 임대료","1회",40
"(주)코스모스제일장례식장","안치료","시신 안치",12
"(주)코스모스제일장례식장","염습료","특수",20
"(주)코스모스제일장례식장","염습료","수시 및 약품비",15
"(주)한국효려(한국병원장례식장)","장례식장 임대료","1실/24시간 기준",50
"(주)한국효려(한국병원장례식장)","장례식장 임대료","1실/24시간 기준",90
"(주)한국효려(한국병원장례식장)","장례식장 임대료","1실/24시간 기준",70
"(주)한국효려(한국병원장례식장)","장례식장 임대료","1실/24시간 기준",100
"(주)한국효려(한국병원장례식장)","안치료","1일/24시간 기준",10
"(주)한빛장례식장","장례식장 임대료","261.90 m2 (132석) / 1",120
"(주)한빛장례식장","장례식장 임대료","224.62 m2 (99석) / 1일",100
"(주)한빛장례식장","장례식장 임대료","327.91 m2 (163석) / 1",130
"(주)한빛장례식장","장례식장 임대료","318.30 m2 (198석) / 1",140
"(주)한빛장례식장","장례식장 임대료","1회",20
"(주)한빛장례식장","안치료","1일",8
"(주)합천장례식장","장례식장 임대료","염습실/입관실",10
"(주)합천장례식장","장례식장 임대료","염습실/입관실",25
"(주)합천장례식장","안치료","안치료",8
"21C한일병원장례식장","장례식장 임대료","1일",70
"21C한일병원장례식장","장례식장 임대료","1일",50
"21C한일병원장례식장","안치료","1일",10
"BHS한서병원장례식장","염습료","2인/1구1회기준",25
"DS병원장례식장","안치료","1실/24시간 기준",10.8
"SMG연세병원장례식장","장례식장 임대료","분향실/접객실/상주방/회의실/화장실/",120
"SMG연세병원장례식장","장례식장 임대료","분향실/접객실/상주방/화장실/샤워실",80
"SMG연세병원장례식장","장례식장 임대료","분향실/접객실/상주방/화장실/샤워실",55
"SMG연세병원장례식장","장례식장 임대료","분향실/접객실/상주방/화장실/샤워실",80
"SMG연세병원장례식장","장례식장 임대료","1회 사용료",20
"SMG연세병원장례식장","안치료","24시간 기준 1日",6
"Sh수협장례식장","장례식장 임대료","특실",5
"Sh수협장례식장","장례식장 임대료","일반실",3.5
"Sh수협장례식장","장례식장 임대료","일반실",2.5
"Sh수협장례식장","장례식장 임대료","일반실",2
"Sh수협장례식장","안치료","빈소사용 구분없음 (1시간 기준)",0.3
"Sh수협장례식장","염습료","2인1조",30
"Sh수협장례식장","염습료","2인 1조",10
"e좋은병원장례식장","장례식장 임대료","특1호실",2.5
"e좋은병원장례식장","장례식장 임대료","2 호실 (1시간 기준)",2
"e좋은병원장례식장","장례식장 임대료","23호실 (1시간 기준)",1.5
"e좋은병원장례식장","안치료","1일기준",12
"k병원장례식장 예지원","장례식장 임대료","80평",94.8
"k병원장례식장 예지원","장례식장 임대료","50평",70.8
"k병원장례식장 예지원","장례식장 임대료","100평",132
"k병원장례식장 예지원","장례식장 임대료","80평",94.8
"k병원장례식장 예지원","장례식장 임대료","60평",82.8
"k병원장례식장 예지원","장례식장 임대료","80평",94.8
"k병원장례식장 예지원","장례식장 임대료","염습실/입관실",25
"k병원장례식장 예지원","안치료","안치실",9.6
"k병원장례식장 예지원","염습료","수시",5
"가남베스트장례식장","장례식장 임대료","시간",1.8
"가남베스트장례식장","장례식장 임대료","시간",3
"가남베스트장례식장","장례식장 임대료","시간",2.5
"가남베스트장례식장","장례식장 임대료","1회",25
"가남베스트장례식장","안치료","시간",0.3
"가남베스트장례식장","염습료","1회",30
"가남베스트장례식장","염습료","1회",10
"가야장례식장","장례식장 임대료","시간당(1시간)",2.5
"가야장례식장","장례식장 임대료","시간당(1시간)",2
"가야장례식장","장례식장 임대료","시간당(1시간)",1.5
"가야장례식장","안치료","안치냉장고(1일기준)",10
"가야장례식장","안치료","안치시간~발인시간(1시간)",0.5
"가톨릭대학교 은평성모장례식장","장례식장 임대료","148㎡(45평)",81.6
"가톨릭대학교 은평성모장례식장","장례식장 임대료","528㎡(160평)",290.4
"가톨릭대학교 은평성모장례식장","장례식장 임대료","330㎡(100평)",178.8
"가톨릭대학교 은평성모장례식장","장례식장 임대료","280㎡(85평)",150
"가톨릭대학교 은평성모장례식장","장례식장 임대료","148~165㎡(소형/8~11호)",3
"가톨릭대학교 은평성모장례식장","장례식장 임대료","330~528㎡(대형/12호)",5
"가톨릭대학교 은평성모장례식장","장례식장 임대료","280㎡(중형/3~7호)",4
"가톨릭대학교 은평성모장례식장","장례식장 임대료","165㎡(50평)",91.2
"가톨릭대학교 은평성모장례식장","장례식장 임대료","158㎡(48평)",86.4
"가톨릭대학교 은평성모장례식장","안치료","1회",10
"가톨릭대학교 은평성모장례식장","안치료","1일",9.6
"가톨릭대학교 은평성모장례식장","염습료","1회",10
"가톨릭대학교 은평성모장례식장","염습료","자가입관",40
"가톨릭대학교 은평성모장례식장","염습료","주간",40
"가톨릭대학교 은평성모장례식장","염습료","야간",40
"가톨릭대학교대전성모병원장례식장","장례식장 임대료","특3분향실/68평형/시간당34000원",81.6
"가톨릭대학교대전성모병원장례식장","장례식장 임대료","특1분향실/90평형/시간당48000원",115.2
"가톨릭대학교대전성모병원장례식장","장례식장 임대료","8분향실/42평형/시간당20000원",48
"가톨릭대학교대전성모병원장례식장","장례식장 임대료","VIP실",129.6
"가톨릭대학교대전성모병원장례식장","장례식장 임대료","5분향실/49평형/시간당23000원",55.2
"가톨릭대학교대전성모병원장례식장","장례식장 임대료","특2분향실/100평형/시간당52000",124.8
"가톨릭대학교대전성모병원장례식장","장례식장 임대료","7분향실/68평형/시간당34000원",81.6
"가톨릭대학교대전성모병원장례식장","장례식장 임대료","6분향실/49평형/시간당23000원",55.2
"가톨릭대학교대전성모병원장례식장","안치료","시간당3000원",7.2
"가톨릭대학교대전성모병원장례식장","염습료","소아",10
"가톨릭대학교대전성모병원장례식장","염습료","처치수습료",40
"가톨릭대학교대전성모병원장례식장","염습료","사고사",30
"가톨릭대학교대전성모병원장례식장","염습료","자가입관",15
"가톨릭대학교대전성모병원장례식장","염습료","염습료",30
"가톨릭대학교대전성모병원장례식장","염습료","야간입관",30
"가톨릭대학교대전성모병원장례식장","염습료","수시",10
"가평군농협효문화센터","장례식장 임대료","21000*24시간  1일",2.1
"가평군농협효문화센터","장례식장 임대료","접객실",1.7
"가평군농협효문화센터","안치료","4500*24시간  1일",0.5
"가평연새장례식장","안치료","시신 안치료(1일기준)",10
"감곡장례식장","염습료","2인1조",30
"감곡장례식장","염습료","2인1조",10
"갑을녹산병원장례식장","염습료","입관실 및 발인실 이용",15
"갑을녹산병원장례식장","염습료","1급 장례 전문 플래너 2명 입관",30
"갑을장유병원장례식장","장례식장 임대료","1실/24시간",72
"갑을장유병원장례식장","장례식장 임대료","1실/24시간",80
"갑을장유병원장례식장","장례식장 임대료","1실/24시간",60
"갑을장유병원장례식장","안치료","1일/24시간",10
"강경장례식장","장례식장 임대료","시간당",3.4
"강경장례식장","장례식장 임대료","시간당",3.5
"강경장례식장","장례식장 임대료","시간당",1.6
"강경장례식장","장례식장 임대료","시간당",1.6
"강경장례식장","장례식장 임대료","시간당",3.7
"강경장례식장","장례식장 임대료","시간당",3.6
"강경장례식장","장례식장 임대료","시간당",1.6
"강경장례식장","장례식장 임대료","1일",18
"강경장례식장","안치료","2일기준",12
"강경장례식장","염습료","1회",30
"강경장례식장","염습료","1회",10
"강남병원장례식장","장례식장 임대료","1실/24시간기준",31.2
"강남병원장례식장","장례식장 임대료","1실/24시간기준",45.6
"강남병원장례식장","장례식장 임대료","1실/24시간기준",57.6
"강남병원장례식장","안치료","1일 /24시간기준",7.2
"강남병원장례식장","염습료","염습비",25
"강남병원장례식장","염습료","1구당(중대질환.사고사)",30
"강동경희대학교병원장례식장","장례식장 임대료","65평형 (214.9㎡/1일 시간당 ",141.6
"강동경희대학교병원장례식장","장례식장 임대료","62평형 (205㎡/1일 시간당 / ",127.2
"강동경희대학교병원장례식장","장례식장 임대료","56평형 (185.1㎡/1일 시간당 ",108
"강동경희대학교병원장례식장","장례식장 임대료","49평형 (162㎡/1일 시간당 / ",96
"강동경희대학교병원장례식장","장례식장 임대료","36평형 (119㎡/1일 시간당 / ",57.6
"강동경희대학교병원장례식장","장례식장 임대료","45평형 (148.8㎡/1일 시간당 ",81.6
"강동경희대학교병원장례식장","장례식장 임대료","40평형 (132.2㎡/1일 시간당 ",67.2
"강동경희대학교병원장례식장","장례식장 임대료","75평형 (247.9㎡/1일 시간당 ",163.2
"강동경희대학교병원장례식장","안치료","어린이 (7~13세) (1일 시간당 ",6.7
"강동경희대학교병원장례식장","안치료","유아 (1~6세) (1일 시간당 / ",5.3
"강동경희대학교병원장례식장","안치료","성인 (14세 이상) (1일 시간당 ",7.9
"강동경희대학교병원장례식장","염습료","성인 14세 이상",40
"강동경희대학교병원장례식장","염습료","성인 14세 이상",25
"강동경희대학교병원장례식장","염습료","유아 1~6세",10
"강동경희대학교병원장례식장","염습료","유아 1~6세",10
"강동경희대학교병원장례식장","염습료","18:00~06:00 입관료",60
"강동경희대학교병원장례식장","염습료","탈관 매장시 입관료",50
"강동경희대학교병원장례식장","염습료","어린이 7~13세",20
"강동경희대학교병원장례식장","염습료","어린이 7~13세",20
"강동경희대학교병원장례식장","염습료","성인 14세 이상",10
"강동경희대학교병원장례식장","염습료","어린이 7~13세",5
"강동성심병원장례식장","장례식장 임대료","VIP실",199.2
"강동성심병원장례식장","장례식장 임대료","특실",172.8
"강동성심병원장례식장","장례식장 임대료","11호실",96
"강동성심병원장례식장","장례식장 임대료","21호실",96
"강동성심병원장례식장","장례식장 임대료","12호실",72
"강동성심병원장례식장","장례식장 임대료","5호실",48
"강동성심병원장례식장","장례식장 임대료","2호실",108
"강동성심병원장례식장","장례식장 임대료","3호실",84
"강동성심병원장례식장","장례식장 임대료","1호실",120
"강동성심병원장례식장","장례식장 임대료","염습실/입관실",30
"강동성심병원장례식장","안치료","시신안치료",7.2
"강동성심병원장례식장","염습료","8세미만",10
"강동성심병원장례식장","염습료","염습비",10
"강동성심병원장례식장","염습료","17시이후 각100000추가 현장용역",10
"강동성심병원장례식장","염습료",".",10
"강릉동인병원장례식장","장례식장 임대료","접객실/분향실(1일)/전체사용 별도",45
"강릉동인병원장례식장","장례식장 임대료","접객실/분향실(1일)",33
"강릉동인병원장례식장","장례식장 임대료","접객실/분향실(1일)",45
"강릉동인병원장례식장","장례식장 임대료","접객실/분향실(1일)",28
"강릉동인병원장례식장","염습료","사용료",27
"강릉아나병원장례식장","장례식장 임대료","1시간",0.4
"강릉아나병원장례식장","장례식장 임대료","1시간",0.6
"강릉아나병원장례식장","안치료","1시간",0.3
"강릉아산병원장례식장","장례식장 임대료","가족실접객실분향실/시간당",2.5
"강릉아산병원장례식장","장례식장 임대료","가족실접객실분향실/시간당",1.6
"강릉아산병원장례식장","장례식장 임대료","가족실접객실분향실/시간당",2.3
"강릉아산병원장례식장","장례식장 임대료","가족실접객실분향실/시간당",3.5
"강릉아산병원장례식장","장례식장 임대료","가족실접객실분향실/시간당",2.3
"강릉아산병원장례식장","안치료","시간당",0.5
"강릉아산병원장례식장","염습료","자가",50
"강릉아산병원장례식장","염습료","공통",35
"강릉아산병원장례식장","염습료","공통",30
"강릉아산병원장례식장","염습료","자가",30
"강북장례식장","장례식장 임대료","24시간",70
"강북장례식장","장례식장 임대료","1회",25
"강북장례식장","안치료","24시간",8
"강북전문장례식장","장례식장 임대료","24시간",45
"강북전문장례식장","장례식장 임대료","24시간",100
"강북전문장례식장","장례식장 임대료","24시간",65
"강북전문장례식장","장례식장 임대료","1회",30
"강북전문장례식장","안치료","24시간",8
"강북휴요양병원장례식장","장례식장 임대료","200제곱미터",150
"강북휴요양병원장례식장","장례식장 임대료","150제곱미터",120
"강북휴요양병원장례식장","장례식장 임대료","1회",40
"강북휴요양병원장례식장","안치료","1667/H",8
"강북휴요양병원장례식장","염습료","입관",30
"강산병원장례식장","장례식장 임대료","특실",60
"강산병원장례식장","장례식장 임대료","12호실",35
"강산병원장례식장","장례식장 임대료","1회",15
"강산병원장례식장","안치료","1일",10
"강서장례식장","장례식장 임대료","무궁화실 1실 24시간 기준",74.4
"강서장례식장","장례식장 임대료","진달래실 1실 24시간 기준",84
"강서장례식장","안치료","회당",30
"강서장례식장","안치료","시간당",0.5
"강서장례식장","염습료","1구",10
"강서장례식장","염습료","1구",12
"강서중앙장례식장","장례식장 임대료","특실",5.9
"강서중앙장례식장","장례식장 임대료","상 :빈소 실안치료1시간당사용료",4.6
"강서중앙장례식장","장례식장 임대료","중:빈소 안치료1시간당사용료",3.9
"강서중앙장례식장","염습료","1구당",30
"강원대학교병원장례식장","장례식장 임대료","109㎡ 빈소 가족실 접객실 시간당",1
"강원대학교병원장례식장","장례식장 임대료","286㎡ 빈소 가족실 접객실 접견실 ",3.5
"강원대학교병원장례식장","장례식장 임대료","149㎡ 빈소 가족실 접객실 접견실 ",1.8
"강원대학교병원장례식장","장례식장 임대료","109㎡ 빈소 가족실 접객실 시간당",1
"강원대학교병원장례식장","장례식장 임대료","109㎡ 빈소 가족실 접객실 접견실 ",1.2
