fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
https://15774129.go.kr/BCUser/facilitypic/7000001025/1559105146210.jpg,(주)스카이장례식장,광주광역시 광산구 북문대로 603 (수완동),tel:062-951-1004,062-951-1004,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,10개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/7000001447/1559111399743.png,구호전장례식장,광주광역시 북구 독립로 409 (우산동),tel:062-960-4444,062-960-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,23개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/7000001023/1564464470906.jpg,만평장례식장,광주광역시 광산구 임방울대로 24 (우산동),tel:062-611-0000,062-611-0000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,11개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1325136950826_1000000704_0.jpg,조선대학교병원장례식장,광주광역시 동구 필문대로 365 (서석동),tel:062-220-3352,062-220-3352,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,0개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000837/1562899610711.png,하남성심병원장례식장,"광주광역시 광산구 용아로 259 (산정동, 하남성심병원)",tel:062-954-4444,062-954-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,76개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000658/1562899930785.png,일곡병원장례식장,광주광역시 북구 양일로 309 (일곡동),tel:062-574-4445,062-574-4445,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,60개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000162/1559106644238.jpg,남도장례식장,광주광역시 동구 중앙로 283-1 (계림동),tel:062-223-7715,062-223-7715,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,1개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1732860312330.jpg,선한병원장례식장,"광주광역시 서구 무진대로 975,지하1층 (광천동)",tel:062-365-4004,062-365-4004,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,12개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000141/1562899789786.png,광주기독병원장례식장,"광주광역시 남구 양림로 37 (양림동, 광주기독병원)",tel:062-653-4400,062-653-4400,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,2개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000846/1560219927157.jpg,금호장례식장,광주광역시 동구 남문로 697 (학동),tel:062-227-4000,062-227-4000,,,,,,12개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1442886204011_1000000453_0.jpg,송정장례식장,광주광역시 광산구 상무대로 364 (신촌동),tel:062-941-4400,062-941-4400,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,49개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000484/1563517378569.jpg,신가병원장례식장,광주광역시 광산구 목련로 316 (신가동),tel:062-962-4444,062-962-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,0개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1000000452/1562899162000.png,송정사랑병원장례식장,광주광역시 광산구 송도로 232.지하1층 (송정동),tel:062-949-9444,062-949-9444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,6개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/7000001807/1556174783633.jpg,빛 장례식장,"광주광역시 광산구 상무대로 231 (송정동, 빛장례식장)",tel:062-452-4000,062-452-4000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/7000001770/1554689589816.jpg,(유)브이아이피장례타운,광주광역시 서구 풍서좌로 237 (매월동),tel:062-521-4444,062-521-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,47개월전 업데이트
https://15774129.go.kr/BCUser/facilitypic/1488865159284_7000001839_0.jpg,(주)광주국빈장례문화원,광주광역시 서구 회재로 825 (매월동),tel:062-606-4000,062-606-4000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,13개월전 업데이트
