fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,convenient src (2),convenient src (3),convenient src (4),convenient src (5),fac_update
사설,https://15774129.go.kr/BCUser/facilitypic/1539670814896_1000000523_0.jpg,효자장례타운,전라북도 전주시 완산구 콩쥐팥쥐로 1705-36 (효자동3가),tel:063-228-4441,063-228-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1544587874951_1000000678_0.jpg,전북대학교병원장례식장,"전라북도 전주시 덕진구 건지로 20 (금암동, 전북대학병원)",tel:063-250-1439,063-250-1439,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,6개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000166/1563511969245.jpg,남원장례식장,전라북도 남원시 충정로 265-7 (월락동),tel:063-635-4444,063-635-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,8개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1442904791347_1000000495_0.jpg,실로암사랑요양병원장례식장,전라북도 익산시 선화로 389 (영등동),tel:063-858-4444,063-858-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,0개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000004/1555488475387.png,(유)동이리장례식장,전라북도 익산시 서동로 5 (인화동2가),tel:063-843-4444,063-843-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000613/1563436812304.jpg,고창우리장례식장,전라북도 고창군 고창읍 녹두로 1313-6 (읍내리),tel:063-564-3322,063-564-3322,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,6개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1468274083963_7000001352_0.jpg,유림장례식장,"전라북도 정읍시 명덕로 54 (연지동, 유림웨딩홀)",tel:063-534-4444,063-534-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,4개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1468633518389_7000000970_0.JPG,삼성장례문화원,전라북도 전주시 덕진구 동부대로 937 (호성동2가),tel:063-247-1003,063-247-1003,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,14개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000182/1555490622138.png,뉴타운장례식장,전라북도 전주시 완산구 노송광장로 60 (서노송동),tel:063-284-4444,063-284-4444,https://15774129.go.kr/img/portal/sub/mark4.png,,,,,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000005/1474965946317.jpg,(유)한솔장례식장,전라북도 익산시 무왕로 1471-22 (팔봉동),tel:063-838-7444,063-838-7444,https://15774129.go.kr/img/portal/sub/mark4.png,,,,,29개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000596/1563510871567.jpg,온고을장례식장,전라북도 전주시 덕진구 온고을로 438-2 (만성동),tel:063-211-5000,063-211-5000,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,12개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000530/1555490356098.png,엠마오사랑병원장례식장,전라북도 전주시 완산구 서원로 402-35 (중화산동1가),tel:063-285-4411,063-285-4411,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,8개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1469692832591_7000001437_0.png,순창온누리장례식장,전라북도 순창군 순창읍 남계로 14 (교성리 659-24),tel:063-653-4482,063-653-4482,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,25개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001442/1474950129124.jpg,(유)우석개발,전라북도 익산시 목천로 118 (목천동),tel:063-837-4444,063-837-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1465951921887_1000000818_0.jpg,(유)익산팔봉장례식장,"전라북도 익산시 무왕로 1671 (덕기동, 익산팔봉장례식장)",tel:063-833-8080,063-833-8080,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000879/1555486868104.png,함열장례식장,전라북도 익산시 함열읍 정동1길 6-9 (와리),tel:063-862-4444,063-862-4444,,,,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1693535748784.jpg,시티장례문화원,전라북도 전주시 완산구 콩쥐팥쥐로 1614 (상림동),tel:063-274-4444,063-274-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,11개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1489880832937_1000000356_0.jpg,새고창장례식장,전라북도 고창군 고창읍 고인돌대로 1763 (읍내리),tel:063-563-1001,063-563-1001,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,58개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000462/1554255011235.jpg,순창군보건의료원장례식장,"전라북도 순창군 순창읍 교성로 135 (교성리, 순창군보건의료원)",tel:063-650-5444,063-650-5444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,5개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1466132814039_7000001361_0.jpg,진안군의료원장례식장,전라북도 진안군 진안읍 진무로 1145 (군상리),tel:063-430-7070,063-430-7070,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,68개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1663841021038.jpg,정읍장례문화원,전라북도 정읍시 벚꽃로 131 (연지동),tel:063-535-7777,063-535-7777,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,37개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1611283448186.jpeg,전주시민장례문화원,전라북도 전주시 완산구 유연로 27 (효자동3가),tel:063-263-4444,063-263-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002953/1761565126906.jpg,효천장례원,전북특별자치도 전주시 완산구 삼천동3가 943-5,tel:063-226-4444,063-226-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000590/1555486776239.png,오수장례식장,전라북도 임실군 오수면 춘향로 1483 (금암리),tel:063-644-0444,063-644-0444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,97개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001138/1555490863199.png,(유)현대장례식장,전라북도 전주시 덕진구 초포다리로 64 (호성동1가),tel:063-275-4444,063-275-4444,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,21개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001477/1555489458186.png,정다운장례문화원,"전라북도 정읍시 관통로 27 (시기동, 정다운병원)",tel:063-530-1044,063-530-1044,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,50개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1519711142519_7000002023_0.jpg,고인돌장례식장,"전라북도 고창군 고창읍 녹두로 1295(읍내리, 고인돌장례식장)",tel:063-562-3223,063-562-3223,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,11개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000307/1555488545916.png,봉동호스피스장례식장,전라북도 완주군 용진읍 완주로 807 (신지리),tel:063-261-4444,063-261-4444,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,,11개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000230/1563437266845.png,동군산병원장례예식장,전라북도 군산시 조촌로 155 (조촌동),tel:063-441-4444,063-441-4444,https://15774129.go.kr/img/portal/sub/mark4.png,,,,,2개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1714714178259.jpg,시민장례문화원,"전북특별자치도 군산시 잠두1길 49,시민장례문화원 (구암동)",tel:063-453-4444,063-453-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,19개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000667/1554256906128.jpg,장수군보건의료원장례식장,"전라북도 장수군 장수읍 장천로 247 (장수리, 장수보건의료원)",tel:063-351-8050,063-351-8050,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,9개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000398/1555491024676.png,전주고려병원장례식장,전라북도 전주시 덕진구 안덕원로 367 (산정동),tel:063-242-9944,063-242-9944,,,,,,2개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000002021/1555489127786.png,정읍장례식장,전라북도 정읍시 고부면 영원로 222-15 (만수리),tel:063-536-4441,063-536-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,94개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000000468/1555489560174.png,정읍사랑병원장례식장,전라북도 정읍시 상동중앙로 94 (상동),tel:063-538-4444,063-538-4444,,,,,,41개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000904/1554960132635.jpg,정읍호남장례식장,전라북도 정읍시 정읍남로 1252 (시기동),tel:063-533-4500,063-533-4500,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,61개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000003/1474950725961.jpg,(유)은파장례문화원,전라북도 군산시 미성로 512 (미룡동),tel:063-445-4444,063-445-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,26개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001416/1563514433959.jpg,인월장례식장,전라북도 남원시 인월면 황산로 1735 (서무리),tel:063-632-9400,063-632-9400,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,1개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1487570076679_1000000118_0.jpg,군산의료원장례식장 오행원,전라북도 군산시 의료원로 27 (지곡동),tel:063-472-5740,063-472-5740,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,11개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001476/1555488384662.jpg,한길장례식장,전라북도 완주군 봉동읍 낙평남북로 104-17 (낙평리),tel:063-261-4441,063-261-4441,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,61개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1686790477829.jpg,장계 공설장례식장,전라북도 장수군 장계면 진장로 1876 (무농리),tel:063-351-4444,063-351-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,,9개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000147/1564466904130.jpg,김제장례식장,전라북도 김제시 벽성로 614 (검산동),tel:063-548-4700,063-548-4700,https://15774129.go.kr/img/portal/sub/mark4.png,,,,,40개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000464/1563515621892.jpg,순창현대장례식장,전라북도 순창군 순창읍 교성로 141-21 (가남리),tel:063-653-4444,063-653-4444,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,97개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000359/1564386161245.jpg,새만금장례식장,전라북도 김제시 하동1길 33 (하동),tel:063-545-0033,063-545-0033,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,3개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000463/1563516664194.jpg,순창장례식장,전라북도 순창군 순창읍 순창로 89 (가남리),tel:063-653-6644,063-653-6644,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,97개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/7000001180/1555489000656.png,한서장례식장,전라북도 정읍시 월천안길 14 (하모동),tel:063-570-7044,063-570-7044,https://15774129.go.kr/img/portal/sub/mark4.png,,,,,58개월전 업데이트
공설,https://15774129.go.kr/BCUser/facilitypic/1000000268/1554254038854.jpg,무주군보건의료원장례식장,"전라북도 무주군 무주읍 한풍루로 413 (당산리, 무주군보건의료원)",tel:063-320-8337,063-320-8337,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,,75개월전 업데이트
사설,https://15774129.go.kr/BCUser/facilitypic/1000000939/1554944314806.jpg,흥덕장례식장,전라북도 고창군 흥덕면 고인돌대로 2582-7 (흥덕리),tel:063-564-4440,063-564-4440,https://15774129.go.kr/img/portal/sub/mark1.png,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,,113개월전 업데이트
