장례식장명,항목,품종,품명,세부내용,가격(원),가격(만원)
"(유)우석개발","시설임대료","빈소+접객실","빈소사용료","140평형(24시간)/일",720000,72
"(유)우석개발","시설임대료","빈소+접객실","빈소사용료","105평형(24시간)일",624000,62.4
"(유)우석개발","안치실이용료","일반","안치료","시간/5000",120000,12
"(유)은파장례문화원","시설임대료","빈소+접객실","분향소","특실(210평)",79000,7.9
"(유)은파장례문화원","시설임대료","빈소+접객실","분향소","준특실(164평)",70000,7
"(유)은파장례문화원","시설임대료","빈소+접객실","분향소","VIP실(270평)",95000,9.5
"(유)은파장례문화원","시설임대료","빈소+접객실","분향소","일반실(120평)",49000,4.9
"(유)은파장례문화원","염습/입관","일반","염습료","1회",400000,40
"(유)익산팔봉장례식장","시설임대료","빈소+접객실","임대료(분향실 및 접객실)","3층 / 특실 / 150평 / 1시간당",33000,3.3
"(유)익산팔봉장례식장","시설임대료","빈소+접객실","임대료(분향실 및 접객실)","1층 / 일반실 / 100평 / 1시간당",25000,2.5
"(유)익산팔봉장례식장","시설임대료","빈소+접객실","임대료(분향실 및 접객실)","2층 / 일반실 / 100평 / 1시간당",25000,2.5
"(유)익산팔봉장례식장","안치실이용료","일반","안치료","1시간당",5000,0.5
"(유)익산팔봉장례식장","염습/입관","일반","사고사입관비","대렴 및 입관 2인",400000,40
"(유)익산팔봉장례식장","염습/입관","일반","입관비","대렴 및 입관 2인",300000,30
"(유)익산팔봉장례식장","염습/입관","일반","사용료","1회 이용료",300000,30
"(유)익산팔봉장례식장","수시/초염","일반","초염","수시및안치 2인",200000,20
"(유)한솔장례식장","시설임대료","빈소+접객실","분향실/접객실사용료   (관리비15만원별도)","1층 1호실 / 100평 / 시간당",22000,2.2
"(유)한솔장례식장","시설임대료","빈소+접객실","분향실/접객실사용료   (관리비10만원별도)","1층 2호실 / 70평 / 시간당",20000,2
"(유)한솔장례식장","시설임대료","빈소+접객실","분향실/접객실사용료   (관리비15만원별도)","2층 3호실 / 110평 / 시간당",22000,2.2
"(유)한솔장례식장","시설임대료","빈소+접객실","분향실/접객실사용료   (관리비20만원별도)","2층 VIP실 / 200평 / 시간당",33000,3.3
"(유)한솔장례식장","시설임대료","염습실/입관실","입관실염습실 / 회당","회당",300000,30
"(유)한솔장례식장","안치실이용료","일반","안치료","시간당",5000,0.5
"(유)한솔장례식장","염습/입관","일반","대렴비","1구당",300000,30
"(유)한솔장례식장","수시/초염","일반","초염비","1구당",100000,10
"(의)동재의료재단오차드장례식장","시설임대료","빈소+접객실","빈소접객실상주방욕실주방","특3호실 2박3일",1800000,180
"(의)동재의료재단오차드장례식장","시설임대료","빈소+접객실","빈소접객실상주방욕실주방","특2호실 2박3일",1800000,180
"(의)동재의료재단오차드장례식장","시설임대료","빈소+접객실","빈소접객실상주방욕실주방","특1호실 2박3일",1900000,190
"(의)동재의료재단오차드장례식장","시설임대료","염습실/입관실","발인실 입관실","2박3일",200000,20
"(의)동재의료재단오차드장례식장","안치실이용료","일반","안치료","2박3일",400000,40
"(의)동재의료재단오차드장례식장","수시/초염","일반","염습료","초렴",100000,10
"(재)하늘가장례식장","시설임대료","빈소+접객실","빈소사용료(특호실)143평 24시간","상주휴게실접객실빈소샤워실주방",1080000,108
"(재)하늘가장례식장","시설임대료","빈소+접객실","빈소사용료(102호)76평 24시간","상주휴게실접객실빈소샤워실주방",720000,72
"(재)하늘가장례식장","시설임대료","빈소+접객실","빈소사용료(101호)31평 24시간","상주휴게실접객실빈소샤워실주방",480000,48
"(재)하늘가장례식장","시설임대료","빈소+접객실","빈소사용료(VIP실)170평 24시간","회의실상주휴계실 2실접객실빈소샤워실주방",1440000,144
"(재)하늘가장례식장","시설임대료","염습실/입관실","입관실사용료(1시간당)","자체입관",300000,30
"(재)하늘가장례식장","시설임대료","염습실/입관실","예식실사용료(1시간당)","발인 및 종교행사 예식실",100000,10
"(재)하늘가장례식장","안치실이용료","일반","안치료 24시간","안치냉장고사용료",120000,12
"(재)하늘가장례식장","수시/초염","일반","수시비","수시초혼비",200000,20
"(주) 비이케이더블유 좋은장례식장","시설임대료","염습실/입관실","입관실사용료","1회",200000,20
"(주) 비이케이더블유 좋은장례식장","안치실이용료","일반","안치료","1일",150000,15
"(주) 비이케이더블유 좋은장례식장","염습/입관","일반","염습료","장례지도사 2명",300000,30
"(주) 비케이더블유 좋은강안병원지점","시설임대료","염습실/입관실","입관실","입관실 사용료",200000,20
"(주) 비케이더블유 좋은강안병원지점","안치실이용료","일반","안치실","1일 100000 시간4000",100000,10
"(주) 비케이더블유 좋은강안병원지점","염습/입관","일반","염습료","2인1조",300000,30
"(주)광양장례식장","시설임대료","빈소/분향실","빈소사용료(중)","1일",800000,80
"(주)광양장례식장","시설임대료","빈소/분향실","빈소사용료(대)","1일",1050000,105
"(주)광양장례식장","시설임대료","빈소/분향실","빈소사용료(소)","1일",500000,50
"(주)광양장례식장","시설임대료","접객실","객실(대)","1일",50000,5
"(주)광양장례식장","시설임대료","접객실","객실(중)","1일",40000,4
"(주)광양장례식장","안치실이용료","","안치실","1일",200000,20
"(주)광주국빈장례문화원","시설임대료","빈소+접객실","301관 302관 401관 402관","입실~퇴실 100석",1700000,170
"(주)광주국빈장례문화원","시설임대료","빈소+접객실","201관 202관","입실~퇴실 100석",1600000,160
"(주)광주국빈장례문화원","시설임대료","빈소+접객실","203관 303관 403관","입실~퇴실 110석",2600000,260
"(주)광주국빈장례문화원","시설임대료","빈소+접객실","101관 102관","입실~퇴실 80석",1500000,150
"(주)광주국빈장례문화원","시설임대료","염습실/입관실","염습실/입관실/참관실 이용료","1회",300000,30
"(주)광주국빈장례문화원","안치실이용료","일반","안치실이용료","1일",100000,10
"(주)광주국빈장례문화원","수시/초염","","초렴","수시/검시",100000,10
"(주)구례장례식장","안치실이용료","일반","안치실사용료","1일 80000원 / 시간당 3300원",80000,8
"(주)구례장례식장","염습/입관","일반","염습실사용료","1회",300000,30
"(주)구례장례식장","수시/초염","일반","초렴비","1회",150000,15
"(주)금성장례식장","시설임대료","빈소+접객실","장례식장 임대료(1호)","1실/24시간/3일간",1500000,150
"(주)금성장례식장","시설임대료","빈소+접객실","장례식장 임대료(3호)","1실/24시간/3일간",900000,90
"(주)금성장례식장","시설임대료","빈소+접객실","장례식장 임대료(2호)","1실/24시간/3일간",1200000,120
"(주)금성장례식장","안치실이용료","일반","안치료","1일",80000,8
"(주)금성장례식장","염습/입관","일반","염습비","1구당",300000,30
"(주)금성장례식장","수시/초염","일반","초염","1구당",100000,10
"(주)기흥장례식장","안치실이용료","일반","안치료","1시간 (2900)",70000,7
"(주)기흥장례식장","염습/입관","","2인 1조","1회",300000,30
"(주)기흥장례식장","수시/초염","","2인 1조","1회",200000,20
"(주)디엑스앤브이엑스 제천지점 장례식장","안치실이용료","일반","안치료","시간",2500,0.3
"(주)디엑스앤브이엑스 제천지점 장례식장","염습/입관","일반","입관비","1회",200000,20
"(주)디엑스앤브이엑스 제천지점 장례식장","염습/입관","특수","입관비(특수)","회",500000,50
"(주)디엑스앤브이엑스 제천지점 장례식장","수시/초염","일반","수시비","1회",100000,10
"(주)디엑스앤브이엑스 제천지점 장례식장","수시/초염","특수","수시비(특수)","회",200000,20
"(주)모악장례문화원","시설임대료","일반","접객실사용료","1실/24시간 기준(397m2)",1700000,170
"(주)모악장례문화원","시설임대료","일반","접객실사용료","1실/24시간 기준(264m2)",1300000,130
"(주)모악장례문화원","시설임대료","일반","분향소사용료","1실/24시간 기준(198m2)",300000,30
"(주)모악장례문화원","시설임대료","일반","분향소사용료","1실/24시간 기준(132m2)",250000,25
"(주)모악장례문화원","시설임대료","일반","접객실사용료","1실/24시간 기준(463m2)",2200000,220
"(주)모악장례문화원","시설임대료","일반","접객실사용료","1실/24시간 기준(528m2)",2400000,240
"(주)모악장례문화원","시설임대료","일반","접객실사용료","1실/24시간 기준(231m2)",1000000,100
"(주)모악장례문화원","시설임대료","일반","분향소사용료","1실/24시간 기준(33m2)",100000,10
"(주)모악장례문화원","시설임대료","일반","분향소사용료","1실/24시간 기준(66m2)",150000,15
"(주)모악장례문화원","시설임대료","일반","분향소사용료","1실/24시간 기준(99m2)",200000,20
"(주)모악장례문화원","안치실이용료","일반","안치료","1일",80000,8
"(주)모악장례문화원","염습/입관","일반","염습및입관실사용료","1회",300000,30
"(주)모악장례문화원","수시/초염","일반","초렴료","1회",150000,15
"(주)비이케이더블유 좋은삼선병원지점","시설임대료","염습실/입관실","입관실 사용료","1회기준",200000,20
"(주)비이케이더블유 좋은삼선병원지점","안치실이용료","일반","안치료","24시간 기준",100000,10
"(주)서원 바른장례식장","시설임대료","빈소+접객실","1호실","40 평 / 1시간",15000,1.5
"(주)서원 바른장례식장","시설임대료","빈소+접객실","2. 3 호실","60 평 / 1시간",20000,2
"(주)서원 바른장례식장","시설임대료","빈소+접객실","특실","80 평 / 1시간",25000,2.5
"(주)서원 바른장례식장","시설임대료","빈소+접객실","V I P 실","100 평/ 1시간",30000,3
"(주)서원 바른장례식장","시설임대료","빈소+접객실","객실","1일사용",30000,3
"(주)서원 바른장례식장","시설임대료","일반","안치실","1시간",3200,0.3
"(주)서원 바른장례식장","시설임대료","염습실/입관실","염습실/입관실","1회사용",200000,20
"(주)서원 바른장례식장","시설임대료","염습실/입관실","발인장","1회사용",50000,5
"(주)서원 바른장례식장","염습/입관","일반","염습비","사고",450000,45
"(주)서원 바른장례식장","염습/입관","일반","고인메이크업","",50000,5
"(주)서원 바른장례식장","염습/입관","일반","생화꽃장식","",50000,5
"(주)서원 바른장례식장","염습/입관","일반","염습비","병사",250000,25
"(주)서원 바른장례식장","염습/입관","일반","염습비","야간",350000,35
"(주)서원 바른장례식장","수시/초염","일반","수세비","병사",100000,10
"(주)세종병원장례식장","시설임대료","염습실/입관실","염습실사용료","1회",350000,35
"(주)세종병원장례식장","안치실이용료","일반","안치실 사용료","시간 6000 /1일 144000",144000,14.4
"(주)시민장례식장","시설임대료","염습실/입관실","입관실","1회",200000,20
"(주)시민장례식장","안치실이용료","일반","안치실","1일",100000,10
"(주)시민장례식장","염습/입관","일반","염습비","2명",300000,30
"(주)안면도장례식장","시설임대료","빈소+접객실","VIP실","320 m2  (97평형)(1시간당)",20000,2
"(주)안면도장례식장","시설임대료","빈소+접객실","귀빈실","264 m2 (80평형)(1시간당)",20000,2
"(주)안면도장례식장","시설임대료","빈소+접객실","특1호실","264 m2 (80평형)(1시간당)",15000,1.5
"(주)안면도장례식장","시설임대료","빈소+접객실","특2호실","280 m2 (85평형)(1시간당)",15000,1.5
"(주)안면도장례식장","시설임대료","염습실/입관실","염습실 일반","입관부터-발인까지 1시간당",3000,0.3
"(주)안면도장례식장","안치실이용료","일반","안치료","안치부터 발인까지 1시간당",3000,0.3
"(주)영천장례식장","안치실이용료","일반","안치실","1일기준 (시간당 3000원)",72000,7.2
"(주)영천장례식장(영남대학교영천병원지점)","시설임대료","빈소/분향실","특실","60평",25000,2.5
"(주)영천장례식장(영남대학교영천병원지점)","시설임대료","빈소/분향실","일반1호실","30평",21000,2.1
"(주)영천장례식장(영남대학교영천병원지점)","시설임대료","빈소/분향실","일반2호실","28평",19000,1.9
"(주)영천장례식장(영남대학교영천병원지점)","시설임대료","염습실/입관실","염습실","용역상조이용시 청구",300000,30
"(주)영천장례식장(영남대학교영천병원지점)","안치실이용료","일반","안치기","시간",5000,0.5
"(주)예담 활주로장례식장","염습/입관","일반","2인1조","1회",300000,30
"(주)예담 활주로장례식장","수시/초염","일반","2인1조","1회",100000,10
"(주)울산국화원장례식장 북울산지점","시설임대료","빈소+접객실","빈소/접객실 [VIP2] 125평/100석","1일 / 24시간",960000,96
"(주)울산국화원장례식장 북울산지점","시설임대료","빈소+접객실","빈소/접객실 [특실] 85평/30석","1일 / 24시간",750000,75
"(주)울산국화원장례식장 북울산지점","시설임대료","빈소+접객실","빈소/접객실 [VIP1] 125평/100석","1일 / 24시간",960000,96
"(주)울산국화원장례식장 북울산지점","시설임대료","염습실/입관실","입관실","1회",200000,20
"(주)울산국화원장례식장 북울산지점","안치실이용료","일반","안치실","1일 / 24시간",120000,12
"(주)울산국화원장례식장 북울산지점","염습/입관","일반","염습료","1회(2人)",300000,30
"(주)울산국화원장례식장 북울산지점","염습/입관","일반","성복제물(입관후추가제물)","닭두부동그랑땡부추전동태전삼색산적조기본편",150000,15
"(주)원지산청장례식장","시설임대료","염습실/입관실","염습실사용료","1회",300000,30
"(주)원지산청장례식장","안치실이용료","일반","안치료","24시간",100000,10
"(주)장례식장아시아드","시설임대료","빈소+접객실","5층 1호실    ( 75평형)","분향실 접객실 상주방 샤워실 화장실",600000,60
"(주)장례식장아시아드","시설임대료","빈소+접객실","3층 VIP호실 (140평형)","분향실 접객실 귀빈실 상주방 샤워실 화장실",1190000,119
"(주)장례식장아시아드","시설임대료","빈소+접객실","6층 2호실    ( 65평형)","분향실 접객실 상주방 샤워실 화장실",450000,45
"(주)장례식장아시아드","시설임대료","빈소+접객실","2층 VIP호실 (140평형)","분향실 접객실 귀빈실 상주방 샤워실 화장실",1190000,119
"(주)장례식장아시아드","시설임대료","빈소+접객실","5층 2호실    ( 65평형)","분향실 접객실 상주방 샤워실 화장실",450000,45
"(주)장례식장아시아드","시설임대료","빈소+접객실","6층 1호실    ( 75평형)","분향실 접객실 상주방 샤워실 화장실",600000,60
"(주)장례식장아시아드","시설임대료","빈소+접객실","7층 1호실    ( 65평형)","분향실 접객실 상주방 샤워실 화장실",450000,45
"(주)장례식장아시아드","시설임대료","염습실/입관실","입관실참관실","1회",200000,20
"(주)장례식장아시아드","안치실이용료","일반","안치실","1일 기준",150000,15
"(주)장례식장아시아드","염습/입관","일반","염습료","장례지도사 2인",300000,30
"(주)제이엔에이실업","시설임대료","빈소+접객실","2호접객실 분향실","1일",520000,52
"(주)제이엔에이실업","시설임대료","빈소+접객실","1호접객실 분향실","1일",700000,70
"(주)제이엔에이실업","안치실이용료","일반","안치실","발인까지",300000,30
"(주)중앙병원장례식장","시설임대료","빈소+접객실","장례식장 임대료","30평-1일24시간 기준",400000,40
"(주)중앙병원장례식장","시설임대료","빈소+접객실","장례식장 임대료","70평-1일24시간 기준",720000,72
"(주)중앙병원장례식장","시설임대료","빈소+접객실","장례식장 임대료","70평-1일24시간 기준",760000,76
"(주)중앙병원장례식장","시설임대료","빈소+접객실","장례식장 임대료","95평-1일24시간 기준",960000,96
"(주)중앙병원장례식장","염습/입관","일반","염습비","",300000,30
"(주)착한전문장례식장","시설임대료","빈소/분향실","204호(60평)","1실/24시간 기준",500000,50
"(주)착한전문장례식장","시설임대료","빈소/분향실","VIP1호(120평)","1실/24시간 기준",1140000,114
"(주)착한전문장례식장","시설임대료","빈소/분향실","VIP2호(150평)","1실/24시간 기준",1420000,142
"(주)착한전문장례식장","시설임대료","빈소/분향실","특301호(80평)","1실/24시간 기준",680000,68
"(주)착한전문장례식장","시설임대료","빈소/분향실","202호(80평)","1실/24시간 기준",680000,68
"(주)착한전문장례식장","시설임대료","빈소/분향실","203호(80평)","1실/24시간 기준",680000,68
"(주)착한전문장례식장","시설임대료","빈소/분향실","205호(40평)","1실/24시간 기준",340000,34
"(주)착한전문장례식장","시설임대료","빈소/분향실","특201호(80평)","1실/24시간 기준",680000,68
"(주)착한전문장례식장","시설임대료","빈소/분향실","VIP3호(150평)","1실/24시간 기준",1420000,142
"(주)착한전문장례식장","안치실이용료","일반","안치실","1일",100000,10
"(주)천지문화원 (천지장례식장)","시설임대료","빈소+접객실","II특실 (502호)","2박3일 기준",2100000,210
"(주)천지문화원 (천지장례식장)","시설임대료","빈소+접객실","1004호","2박3일 기준",1200000,120
"(주)천지문화원 (천지장례식장)","시설임대료","빈소+접객실","설루원.소홍관","2박3일 기준",2900000,290
"(주)천지문화원 (천지장례식장)","시설임대료","빈소+접객실","I 특실 (101호201호301호)","2박3일 기준",2500000,250
"(주)천지문화원 (천지장례식장)","시설임대료","빈소+접객실","일반실 (501호)","2박3일 기준",1800000,180
"(주)천지문화원 (천지장례식장)","안치실이용료","일반","안치실","1일 기준",100000,10
"(주)천지문화원 (천지장례식장)","염습/입관","일반","염습비","소렴[염습료]",400000,40
"(주)천지문화원 (천지장례식장)","수시/초염","일반","수시비","초렴[수시/검시]",100000,10
"(주)코스모스제일장례식장","시설임대료","빈소+접객실","일반실","50평(빈소 접객실 가족휴게실)",500000,50
"(주)코스모스제일장례식장","시설임대료","빈소+접객실","특실","200평(빈소 접객실 가족휴게실)",1500000,150
"(주)코스모스제일장례식장","시설임대료","빈소+접객실","고급실","100평(빈소 접객실 가족휴게실)",1000000,100
"(주)코스모스제일장례식장","시설임대료","염습실/입관실","입관실 사용료","1회",400000,40
"(주)코스모스제일장례식장","안치실이용료","일반","안치료 1일","시신 안치",120000,12
"(주)코스모스제일장례식장","염습/입관","일반","염습비","야간 및 특수",200000,20
"(주)코스모스제일장례식장","수시/초염","일반","수시 및 약품비","수시 및 약품비",150000,15
"(주)한국효려(한국병원장례식장)","시설임대료","빈소+접객실","장례식장 임대료(5)","1실/24시간 기준",500000,50
"(주)한국효려(한국병원장례식장)","시설임대료","빈소+접객실","장례식장 임대료(2)","1실/24시간 기준",900000,90
"(주)한국효려(한국병원장례식장)","시설임대료","빈소+접객실","장례식장 임대료(3)","1실/24시간 기준",700000,70
"(주)한국효려(한국병원장례식장)","시설임대료","빈소+접객실","장례식장 임대료(1)","1실/24시간 기준",1000000,100
"(주)한국효려(한국병원장례식장)","안치실이용료","일반","안치료","1일/24시간 기준",100000,10
"(주)한빛장례식장","시설임대료","빈소+접객실","특실 1","261.90 m2 (132석) / 1일",1200000,120
"(주)한빛장례식장","시설임대료","빈소+접객실","특실 2","224.62 m2 (99석) / 1일",1000000,100
"(주)한빛장례식장","시설임대료","빈소+접객실","VIP 2","327.91 m2 (163석) / 1일",1300000,130
"(주)한빛장례식장","시설임대료","빈소+접객실","VIP 1","318.30 m2 (198석) / 1일",1400000,140
"(주)한빛장례식장","시설임대료","염습실/입관실","염습실/입관실","1회",200000,20
"(주)한빛장례식장","안치실이용료","일반","안치실","1일",80000,8
"(주)합천장례식장","시설임대료","염습실/입관실","발인실","",100000,10
"(주)합천장례식장","시설임대료","염습실/입관실","염습실","",250000,25
"(주)합천장례식장","안치실이용료","일반","안치료","",80000,8
"21C한일병원장례식장","시설임대료","빈소+접객실","특실(분향실+상주실+접객실)","1일",700000,70
"21C한일병원장례식장","시설임대료","빈소+접객실","고급(분향실+상주실+접객실)","1일",500000,50
"21C한일병원장례식장","안치실이용료","일반","안치실이용료","1일",100000,10
"BHS한서병원장례식장","염습/입관","일반","염습료","2인/1구1회기준",250000,25
"DS병원장례식장","안치실이용료","일반","안치료","1실/24시간 기준",108000,10.8
"SMG연세병원장례식장","시설임대료","빈소+접객실","3층 302호실 (VIP150평형)전입식테이블","분향실/접객실/상주방/회의실/화장실/샤워실",1200000,120
"SMG연세병원장례식장","시설임대료","빈소+접객실","2층 203호실 (특실100평형)전입식테이블","분향실/접객실/상주방/화장실/샤워실",800000,80
"SMG연세병원장례식장","시설임대료","빈소+접객실","2층 202호실 (특실80평형)전입식테이블","분향실/접객실/상주방/화장실/샤워실",550000,55
"SMG연세병원장례식장","시설임대료","빈소+접객실","3층 301호실 (특실100평형)전입식테이블","분향실/접객실/상주방/화장실/샤워실",800000,80
"SMG연세병원장례식장","시설임대료","염습실/입관실","입관실 및 참관실","1회 사용료",200000,20
"SMG연세병원장례식장","안치실이용료","일반","안치실 사용료","24시간 기준 1日",60000,6
"Sh수협장례식장","시설임대료","빈소+접객실","무궁화국화","특실(1시간 기준)",50000,5
"Sh수협장례식장","시설임대료","빈소+접객실","백합","일반실(1시간 기준)",35000,3.5
"Sh수협장례식장","시설임대료","빈소+접객실","목련","일반실(1시간 기준)",25000,2.5
"Sh수협장례식장","시설임대료","빈소+접객실","동백","일반실(1시간 기준)",20000,2
"Sh수협장례식장","안치실이용료","일반","안치료","빈소사용 구분없음 (1시간 기준)",3000,0.3
"Sh수협장례식장","염습/입관","일반","염습비","2인1조",300000,30
"Sh수협장례식장","수시/초염","","수시 인건비","2인 1조",100000,10
"e좋은병원장례식장","시설임대료","빈소+접객실","빈소 접객실 사용료","특1호실 (1시간 기준)",25000,2.5
"e좋은병원장례식장","시설임대료","빈소+접객실","빈소 접객실 사용료","2 호실 (1시간 기준)",20000,2
"e좋은병원장례식장","시설임대료","빈소+접객실","빈소 접객실 사용료","23호실 (1시간 기준)",15000,1.5
"e좋은병원장례식장","안치실이용료","일반","안치료","1일기준",120000,12
"k병원장례식장 예지원","시설임대료","빈소+접객실","101호","80평",948000,94.8
"k병원장례식장 예지원","시설임대료","빈소+접객실","102호","50평",708000,70.8
"k병원장례식장 예지원","시설임대료","빈소+접객실","103호","100평",1320000,132
"k병원장례식장 예지원","시설임대료","빈소+접객실","203호","80평",948000,94.8
"k병원장례식장 예지원","시설임대료","빈소+접객실","202호","60평",828000,82.8
"k병원장례식장 예지원","시설임대료","빈소+접객실","201호","80평",948000,94.8
"k병원장례식장 예지원","시설임대료","염습실/입관실","염습실","",250000,25
"k병원장례식장 예지원","안치실이용료","일반","안치실","",96000,9.6
"k병원장례식장 예지원","수시/초염","일반","수시","",50000,5
"가남베스트장례식장","시설임대료","빈소+접객실","빈소+접객실","시간",18000,1.8
"가남베스트장례식장","시설임대료","빈소+접객실","빈소+접객실","시간",30000,3
"가남베스트장례식장","시설임대료","염습실/입관실","빈소+접객실","시간",25000,2.5
"가남베스트장례식장","시설임대료","염습실/입관실","입관실사용료","1회",250000,25
"가남베스트장례식장","안치실이용료","일반","안치냉장","시간",3000,0.3
"가남베스트장례식장","염습/입관","일반","염습","1회",300000,30
"가남베스트장례식장","수시/초염","일반","수시","1회",100000,10
"가야장례식장","시설임대료","빈소+접객실","장례식장 임대료2층(VIP)","시간당(1시간)",25000,2.5
"가야장례식장","시설임대료","빈소+접객실","장례식장 임대료1층(VIP)","시간당(1시간)",20000,2
"가야장례식장","시설임대료","빈소+접객실","장례식장 임대료2층(특실)","시간당(1시간)",15000,1.5
"가야장례식장","안치실이용료","일반","안치료","안치냉장고(1일기준)",100000,10
