fac_type,fac_thumb src,fac_tit,fac_addr,fac_tel href,fac_tel,convenient src,fac_update,convenient src (2),convenient src (3),convenient src (4),convenient src (5)
사설,https://15774129.go.kr/BCUser/facilitypic/1000000473/1563510435098.jpg,순천향장례식장,"경상북도 구미시 1공단로 179 (공단동, 구미순천향병원)",tel:054-464-4444,054-464-4444,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002790/1715041945561.gif,구미강동병원장례식장,"경상북도 구미시 인동20길 46 지하1층 (진평동, 구미강동병원)",tel:054-473-9650,054-473-9650,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000000980/1560329792778.jpg,남구미요양병원장례식장,경상북도 구미시 금오대로 378 (오태동),tel:054-716-0044,054-716-0044,https://15774129.go.kr/img/portal/sub/mark4.png,1개월전 업데이트,,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000066/1563522914765.jpg,계명대학교경주동산병원장례식장,"경상북도 경주시 봉황로 65 (서부동, 계명대학교경주동산병원)",tel:054-774-0288,054-774-0288,https://15774129.go.kr/img/portal/sub/mark1.png,28개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001975/1562898209981.jpg,효사랑요양병원장례식장,"경상북도 영천시 금호읍 금호로 484 (신월리, 효사랑요양병원)",tel:054-337-4044,054-337-4044,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
공설,https://15774129.go.kr/BCUser/facilitypic/1000000148/1554254692475.jpg,김천의료원장례식장,경상북도 김천시 모암길 24 (모암동),tel:054-429-8280,054-429-8280,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001824/1560329992806.jpg,아성병원장례식장,경상북도 구미시 선기로 155-23 (선기동),tel:054-442-5555,054-442-5555,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001604/1560327742123.jpg,시민장례식장,경상북도 경주시 화랑로 40 (성건동),tel:054-775-4443,054-775-4443,https://15774129.go.kr/img/portal/sub/mark2.png,28개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000116/1561096883263.png,문경국화원장례식장,경상북도 문경시 공평로 134 (공평동),tel:054-555-6444,054-555-6444,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000002306/1579508428790.jpg,영덕제일요양병원장례식장,경상북도 영덕군 영덕읍 우곡길 52 (우곡리),tel:054-733-4440,054-733-4440,https://15774129.go.kr/img/portal/sub/mark2.png,72개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000507/1563514491646.jpg,안강중앙병원장례식장,경상북도 경주시 안강읍 안강중앙로 150-3 (산대리),tel:054-761-3014,054-761-3014,https://15774129.go.kr/img/portal/sub/mark1.png,16개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000585/1559106028066.jpg,예천장례식장,경상북도 예천군 예천읍 충효로 35-8 (지내리),tel:054-655-4442,054-655-4442,https://15774129.go.kr/img/portal/sub/mark1.png,4개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1573872188910_7000002271_0.jpg,상주시민장례식장,경상북도 상주시 경상대로 2693 (가장동),tel:054-536-8800,054-536-8800,https://15774129.go.kr/img/portal/sub/mark1.png,7개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1726321885415.jpg,예천권병원장례식장,"경상북도 예천군 예천읍 시장로 136 (동본리, 예천권병원)",tel:054-655-0456,054-655-0456,https://15774129.go.kr/img/portal/sub/mark1.png,4개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000401/1560329845780.jpg,선산전문장례식장,경상북도 구미시 선산읍 선상동로 58 (생곡리),tel:054-482-1414,054-482-1414,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000828/1559108713399.jpg,포항시민전문장례식장,경상북도 포항시 북구 새천년대로 1191 (장성동),tel:054-253-4444,054-253-4444,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000270/1555900971166.gif,문경제일병원장례식장,경상북도 문경시 당교3길 25 (모전동),tel:054-550-7948,054-550-7948,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/7000000890/1560327646585.jpg,미루병원장례식장,경상북도 경주시 안강읍 화전북4길 8 (산대리),tel:054-762-4404,054-762-4404,https://15774129.go.kr/img/portal/sub/mark1.png,52개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001074/1563515493537.jpg,제일장례식장,경상북도 상주시 영남제일로 1408-15 (복룡동),tel:054-531-4411,054-531-4411,https://15774129.go.kr/img/portal/sub/mark1.png,32개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
공설,https://15774129.go.kr/BCUser/facilitypic/1000000748/1761726417840.jpg,경상북도포항의료원 장례식장,"경상북도 포항시 북구 용흥로 36 (용흥동, 포항의료원)",tel:054-245-0444,054-245-0444,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1628575491157.jpg,교원예움 포항국화원장례식장,경상북도 포항시 남구 희망대로 644 (대잠동),tel:054-272-4444,054-272-4444,https://15774129.go.kr/img/portal/sub/mark1.png,39개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000075/1709689790435.PNG,고령전문장례식장,경상북도 고령군 쌍림면 대가야로 947 (고곡리),tel:054-956-4444,054-956-4444,https://15774129.go.kr/img/portal/sub/mark1.png,30개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/7000001599/1560327974111.jpg,고령대가야장례식장,경상북도 고령군 대가야읍 일량로 83 (고아리),tel:054-955-1667,054-955-1667,https://15774129.go.kr/img/portal/sub/mark1.png,62개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/7000001455/1564373090514.jpg,영덕효요양병원장례식장,경상북도 영덕군 영덕읍 영덕로 72-12 (남산리),tel:054-732-4444,054-732-4444,https://15774129.go.kr/img/portal/sub/mark1.png,73개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000000873/1563952854020.png,문경장례식장,경상북도 문경시 산양면 서당마길 7-5 (반곡리),tel:054-555-7000,054-555-7000,https://15774129.go.kr/img/portal/sub/mark1.png,1개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000149/1561094695486.png,김천시민장례식장,경상북도 김천시 남면 초곡길 167 (초곡리),tel:054-435-4321,054-435-4321,https://15774129.go.kr/img/portal/sub/mark1.png,47개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000006/1474966376765.jpg,(의)동재의료재단오차드장례식장,"경상북도 울진군 후포면 동해대로 441 (삼율리, 오차드요양병원)",tel:054-787-1206,054-787-1206,https://15774129.go.kr/img/portal/sub/mark1.png,42개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/7000002699/1709689930102.PNG,늘푸른장례식장,"경상북도 경주시 유림로13번길 155 (용강동, 늘푸른요양병원)",tel:054-705-4444,054-705-4444,https://15774129.go.kr/img/portal/sub/mark1.png,30개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000826/1559114576218.jpg,포항성모병원장례식장,"경상북도 포항시 남구 대잠동길 17 (대잠동,포항성모병원)",tel:054-260-8048,054-260-8048,https://15774129.go.kr/img/portal/sub/mark1.png,17개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000576/1563517024449.jpg,영천참좋은요양병원장례식장,경상북도 영천시 망정1길 32 (망정동),tel:054-338-1024,054-338-1024,https://15774129.go.kr/img/portal/sub/mark2.png,109개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000644/1562898465652.jpg,의성전문장례식장,"경상북도 의성군 의성읍 홍술로 89-49 (철파리, 의성장례식장)",tel:054-832-4004,054-832-4004,https://15774129.go.kr/img/portal/sub/mark1.png,76개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001114/1561097683574.png,상주장례식장,경상북도 상주시 영남제일로 1953 (낙양동),tel:054-531-4444,054-531-4444,https://15774129.go.kr/img/portal/sub/mark1.png,10개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000354/1563515113682.jpg,상주성모병원 장례식장,경상북도 상주시 냉림서성길 7 (냉림동),tel:054-535-6000,054-535-6000,https://15774129.go.kr/img/portal/sub/mark1.png,13개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000556/1559106560681.jpg,영덕아산병원 장례식장,경상북도 영덕군 영해면 영덕로 1621 (성내리),tel:054-730-0168,054-730-0168,https://15774129.go.kr/img/portal/sub/mark1.png,2개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/7000001599/1560327974111.jpg,고령대가야장례식장,경상북도 고령군 대가야읍 일량로 83 (고아리),tel:054-955-1667,054-955-1667,https://15774129.go.kr/img/portal/sub/mark1.png,62개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/7000001455/1564373090514.jpg,영덕효요양병원장례식장,경상북도 영덕군 영덕읍 영덕로 72-12 (남산리),tel:054-732-4444,054-732-4444,https://15774129.go.kr/img/portal/sub/mark1.png,73개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000511/1559106264472.jpg,안동병원장례식장,경상북도 안동시 앙실로 11 (수상동),tel:054-840-0030,054-840-0030,https://15774129.go.kr/img/portal/sub/mark1.png,89개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001124/1563515309006.jpg,성주효병원장례식장,경상북도 성주군 성주읍 성주순환로 239 (예산리),tel:054-933-1282,054-933-1282,https://15774129.go.kr/img/portal/sub/mark1.png,18개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1466205493616_7000000989_0.jpg,대한적십자사상주병원장례식장,"경상북도 상주시 상서문로 53 (남성동, 적십자병원)",tel:054-530-3017,054-530-3017,https://15774129.go.kr/img/portal/sub/mark1.png,7개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1706518002341.jpg,위더스요양병원장례식장,"경상북도 경주시 승삼북길 31 (용강동, 위더스요양병원)",tel:054-744-4044,054-744-4044,https://15774129.go.kr/img/portal/sub/mark1.png,23개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001218/1554342465173.png,양지요양병원장례식장,경상북도 경산시 경산로 174 (옥산동 793),tel:053-817-9444,053-817-9444,https://15774129.go.kr/img/portal/sub/mark1.png,42개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/1420014964290_7000000999_0.JPG,영천영락원장례식장,경상북도 영천시 천문로 596-8 (오미동),tel:054-336-4444,054-336-4444,https://15774129.go.kr/img/portal/sub/mark1.png,84개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000013/1561103997098.jpg,가야장례식장,경상북도 성주군 성주읍 주산로 189 (삼산리),tel:054-933-4114,054-933-4114,https://15774129.go.kr/img/portal/sub/mark2.png,38개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1723008979978.jpeg,공생병원장례식장,경상북도 의성군 의성읍 후죽2길 6 (후죽리),tel:054-834-9906,054-834-9906,https://15774129.go.kr/img/portal/sub/mark1.png,32개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000429/1554687959657.png,성제장례식장,"경상북도 의성군 안계면 안계길 200 (용기리, 성제병원)",tel:054-861-4441,054-861-4441,https://15774129.go.kr/img/portal/sub/mark4.png,73개월전 업데이트,,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000933/1563523077001.jpg,효신전문장례식장,경상북도 상주시 함창읍 경상대로 4946-43 (오동리),tel:054-541-8007,054-541-8007,https://15774129.go.kr/img/portal/sub/mark1.png,6개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,
공설,https://15774129.go.kr/BCUser/facilitypic/1467254007589_1000000626_0.jpg,울진군의료원장례식장,"경상북도 울진군 울진읍 현내항길 71 (연지리, 울진군의료원)",tel:054-785-7800,054-785-7800,https://15774129.go.kr/img/portal/sub/mark1.png,8개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000827/1554351966592.jpg,포항세명기독병원장례식장,경상북도 포항시 남구 상공로 120 (대도동),tel:054-289-1919,054-289-1919,https://15774129.go.kr/img/portal/sub/mark1.png,17개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/1478238032700_7000000988_0.jpg,영덕전문장례식장,경상북도 영덕군 영덕읍 하저길 20 (우곡리),tel:054-734-6800,054-734-6800,https://15774129.go.kr/img/portal/sub/mark1.png,28개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000150/1561094905687.png,김천제일병원장례식장,경상북도 김천시 신음1길 12 (신음동),tel:054-433-9444,054-433-9444,https://15774129.go.kr/img/portal/sub/mark1.png,82개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000186/1555304951839.jpg,다인농협장례식장,경상북도 의성군 다인면 단북다인로 1069 (산내리),tel:054-861-4011,054-861-4011,https://15774129.go.kr/img/portal/sub/mark1.png,85개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark4.png,,,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000575/1554959547085.jpg,(주)영천장례식장,경상북도 영천시 한방로 35 (도동),tel:054-332-4000,054-332-4000,https://15774129.go.kr/img/portal/sub/mark1.png,120개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/7000001923/1564378970373.jpg,의성제일장례식장,경상북도 의성군 의성읍 홍술로 94 (원당리),tel:054-834-4300,054-834-4300,https://15774129.go.kr/img/portal/sub/mark1.png,103개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark3.png,https://15774129.go.kr/img/portal/sub/mark4.png,https://15774129.go.kr/img/portal/sub/mark5.png
사설,https://15774129.go.kr/BCUser/facilitypic/1000000434/1556079998386.jpg,세명병원장례식장,경상북도 경산시 경안로 208 (중방동),tel:053-816-4444,053-816-4444,https://15774129.go.kr/img/portal/sub/mark1.png,75개월전 업데이트,https://15774129.go.kr/img/portal/sub/mark2.png,https://15774129.go.kr/img/portal/sub/mark4.png,,
사설,https://15774129.go.kr/BCUser/facilitypic/1000000569/1561104678148.png,영양병원장례식장,"경상북도 영양군 영양읍 동서대로 75 (서부리, 영양병원)",tel:054-682-0727,054-682-0727,https://15774129.go.kr/img/portal/sub/mark4.png,120개월전 업데이트,,,,
