ID,구분,시설명,주소,전화번호
759,봉안당,"양양군공설묘원 봉안당","강원특별자치도 양양군 양양읍 남대천로 251-123 (월리)","033-670-2341"
785,봉안당,"종로구추모의집","경기도 화성시 향남읍 서봉로755번길 17-15(동오리)","031-354-2325"
787,봉안당,"의령군공설납골묘","경상남도 의령군 정곡면 법정로 580-9 (예둔리, 공설묘원)","055-574-0694"
798,봉안당,"청주시목련원목련당","충청북도 청주시 상당구 목련로 731 (월오동)","043-270-8578"
805,봉안당,"증평군 추모의집","충청북도 음성군 금왕읍 덕금로 936-61, 예은추모공원 내 (용계리)","043-835-4813"
808,봉안당,"산청군공설묘지 본향원","경상남도 산청군 신등면 신등가회로 357-17 (가술리, 본향원)","055-973-2491"
813,봉안당,"청솔공원 봉안묘","강원특별자치도 강릉시 사천면 석교리 산162","033-660-3857"
820,봉안당,"상락원 지장영묘전","경기도 파주시 송화로 136 (야동동, 한국불교상락원)","031-941-3416"
835,봉안당,"대승불교법왕종 한광사","경상북도 영천시 신녕면 권응수길 126 (화남리, 한광사)","054-336-3533"
840,봉안당,"한국불교원각종 장수사","대구광역시 달성군 옥포면 옥계길 16-1(본리리, 장수사)","053-615-9004"
873,봉안당,"용운사 납골당","경상북도 칠곡군 동명면 득명2길 110 (득명리)","054-971-2815"
879,봉안당,"대한불교조계종 육지장사","경기도 양주시 백석읍 기산로471번길 190 (기산리)","031-871-0101"
881,봉안당,"보석교회 헤븐스","충청남도 아산시 배방읍 고불로 129-26 (수철리)","041-568-9993"
912,natural,"백양사 수목장","전라남도 장성군 북하면 백양로 1239 (약수리, 백양사)","061-392-2304"
913,natural,"삼척시추모공원 자연장","강원특별자치도 삼척시 강원남부로 4540 (등봉동)","033-574-7912"
918,natural,"서울신흥교회 하늘계단수목장","경기도 양주시 평화로1261번길 372-146 (산북동)","031-821-4242"
928,natural,"대전추모공원 자연장지","대전광역시 서구 상보안윗길 160 (괴곡동)","042-602-2500"
935,natural,"청주시목련공원자연장","충청북도 청주시 상당구 목련로 731 (월오동, 목련공원)","043-270-8578"
937,natural,"중대공원자연장지","경기도 광주시 순암로 192 (중대동)","031-762-0383"
940,natural,"오룡군립묘원 자연장지","전라남도 담양군 무정면 오룡리 산29","061-380-2599"
950,natural,"청솔공원 자연장지","강원특별자치도 강릉시 사천면 석교리 산162","033-660-3857"
955,natural,"휴안추모공원","경상남도 김해시 상동면 상동로 178-54 (우계리, 불조사)","055-724-4755"
957,natural,"고사자연장지","경상남도 남해군 설천면 진목리 산78-2",""
963,natural,"진주대광교회 자연장지","경상남도 진주시 대곡면 와룡리 50-1","055-761-6866"
970,natural,"정음사원추모관","충청북도 청주시 서원구 3순환로644번길 33 (죽림동)","043-233-0924"
980,natural,"천주교 김천공원묘원","경상북도 김천시 개령면 황계길 280-41 (황계리)","054-433-3880"
981,natural,"평안교회 자연장지","충청북도 청주시 서원구 남이면 구암리 산15-1","043-286-3391"
8200114,장례식장,"군위삼성병원 장례식장","대구 군위군 군위읍 중앙길 40",""
8207921,봉안당,"구암사 봉안당","대전 유성구 북유성대로487번길 130","042-822-2377"
8359232,장례식장,"새하늘 장례식장","경남 합천군 적중면 황강옥전로 1913",""
8380259,장례식장,"오천삼성병원장례식장","경상북도 포항시 남구 오천읍 충무로 10 (용덕리)","054-292-6789"
8487270,추모공원,"약수암영탑추모공원","경기 파주시 파주읍 약수골길 86","031-953-4408"
9860393,장례식장,"성제요양병원 장례식장","경북 의성군 안계면 안계길 200","054-861-4441"
9876328,장례식장,"성서효요양병원 장례식장","대구 달서구 달구벌대로 1152","053-582-0444"
10855320,장례식장,"청주시장례식장운영회","충북 청주시 상당구 목련로 731",""
12401002,장례식장,"당진요양병원 신평장례식장","충남 당진시 신평면 말목길 22-13","070-4982-3135"
12406207,장례식장,"장림중앙장례식장","부산 사하구 장림번영로 59","051-264-0444"
12658723,장례식장,"차의과학대학교부속 구미차병원 장례식장","경북 구미시 신시로10길 12","054-450-9984"
14650752,장례식장,"진도한국병원 장례식장","전남 진도군 진도읍 남문길 48","061-544-4408"
14650773,장례식장,"강릉의료원 장례식장1관","강원특별자치도 강릉시 경강로 2007","033-610-1444"
14650820,장례식장,"하나성심병원 장례식장","경기 김포시 통진읍 김포대로 2110-44","031-996-4440"
14650822,장례식장,"PH장례식장","경기 부천시 원미구 조마루로 170","032-651-0444"
14650865,장례식장,"연세대학교 원주장례식장","강원도 원주시 일산로 20,내 (일산동, 연세대학교원주세브란스기독병원)","033-744-3969"
14650897,장례식장,"대한적십자 상주병원 장례식장","경북 상주시 상서문로 53","054-530-3018"
14650935,추모공원,"청양군추모공원 공설묘지","충남 청양군 화성면 신수길 142-18","041-942-5226"
14651010,추모공원,"광양시립공원묘지 영세장","전남 광양시 광양읍 직동1길 300","061-762-4449"
17250603,장례식장,"관산정남진장례식장","전라남도 장흥군 관산읍 관산로 133 (남송리)","061-867-4400"
17314753,장례식장,"청담동성당 장례식장","서울 강남구 삼성로 720",""
17569715,추모공원,"홍성추모공원 유택동산","충남 홍성군 금마면 봉서리 117",""
17578201,추모공원,"홍성추모공원 기존화장장","충남 홍성군 금마면 봉서리 117",""
18950428,장례식장,"GSH광양서울병원 장례식장","전남 광양시 진등길 93","061-794-4440"
19469580,장례식장,"효성요양병원 장례식장","전남 목포시 양을로 456","061-800-5500"
19603737,장례식장,"한마음효요양병원 장례식장","세종특별자치시 조치원읍 금이로 53-5","044-868-3700"
19891274,추모공원,"막벨라강화추모공원","인천 강화군 송해면 강화대로 879-16","032-933-7133"
20507820,장례식장,"영주자인병원 장례식장","경북 영주시 대동로31번길 9","054-635-3400"
21275798,장례식장,"단국대학교의과대학부속병원 장례식장","충남 천안시 동남구 망향로 201","041-550-7474"
21302041,장례식장,"고금장례식장 본관","전남 완도군 고금면 고금동로 117","070-7385-8256"
21546125,natural,"천불사 수목장","경상남도 밀양시 삼랑진읍 행곡3길 68-72 (행곡리)","055-364-1007"
22676989,장례식장,"대구연세요양병원장례식장","대구광역시 서구 북비산로 156 (평리동)","053-556-8008"
22893404,추모공원,"수도권추모공원 분당납골당","경기 광주시 오포로 211-49","1661-9383"
22959452,추모공원,"강촌수목장추모공원","강원특별자치도 춘천시 남산면 봉의텃골길 149-10","033-243-3654"
23151151,장례식장,"아산참요양병원 장례식장","충남 아산시 염치읍 송곡안길 31","041-545-1600"
23356857,봉안당,"영평사 봉안당","경기도 안성시 보개면 신장길 79-42 (신장리)","031-676-3960"
23893413,장례식장,"아카시아병원장례식장","서울 금천구 시흥대로114길 5","02-852-0067"
23972280,장례식장,"공동장례식장","제주특별자치도 서귀포시 남원읍 서성로 955-24",""
24446137,추모공원,"유명추모공원 홍성본점","충남 홍성군 금마면 금마로516번길 64-22",""
24976497,장례식장,"아산유리요양병원 장례식장","충청남도 아산시 도고면 도고면로 179,아산유리요양병원 (기곡리)","041-549-1044"
25084136,추모공원,"횡성군공설추모공원 추모관","강원특별자치도 횡성군 갑천면 태기로구방8길 132 (구방리)","033-340-2904"
25733632,봉안당,"성주남양공원 봉안당","경북 성주군 선남면 관용로 401-141","054-932-4444"
25733638,추모공원,"대구시립공원묘지 납골당","경북 칠곡군 지천면 낙산로 87","053-312-0348"
25733645,봉안당,"영천만불지장회 사설납골당","경북 영천시 북안면 내서로 139-17",""
25733654,봉안당,"용학사 납골당","경기 이천시 모가면 진상미로1067번길 271","031-632-4885"
25733661,추모공원,"경춘공원묘원 합동봉안당","강원특별자치도 춘천시 서면 노동길 181",""
25733663,봉안당,"만인추모관","충남 금산군 복수면 다복로 525-35","010-9415-4549"
25733665,봉안당,"서산시희망공원 봉안당","충남 서산시 인지면 무학재2길 106",""
25733675,봉안당,"부산영락공원 무연고자 납골당","부산 금정구 금정도서관로 108","051-790-5000"
26042652,장례식장,"경상남도립통영노인전문병원 장례식장","경남 통영시 도산면 남해안대로 1818","055-646-4242"
26349271,봉안당,"봉안천국","경기 용인시 처인구 신송로 129","1588-2985"
26578373,추모공원,"매운이정희선생추모공원","경북 청도군 화양읍 유등리 산 188",""
26886598,natural,"일영수목장","경기 양주시 장흥면 호국로 156","010-4316-1042"
26915303,장례식장,"이편안요양병원 장례문화원","경기 평택시 안중읍 서동대로 1831-16","031-681-0444"
27096681,장례식장,"천주교명일동성당장례식장","서울 강동구 양재대로156길 28","02-481-2216"
27115022,봉안당,"학천사추모관","전라남도 화순군 화순읍 덕음로 940-27 (삼천리, 학천사)","061-375-7631"
27356689,natural,"여여정사 수목장","경상남도 밀양시 삼랑진읍 행곡1길 180-158 (행곡리)","055-355-9290"
27453923,추모공원,"수도권추모공원 용인수목장","경기 용인시 처인구 양지면 한터로 432-16","010-5792-8585"
27606820,장례식장,"연수성당 장례식장","인천 연수구 청능대로 74","032-819-1024"
65026725,봉안당,"덕수이씨 정의공파종중 납골묘","충남 아산시 음봉면 쌍암리 5-2","010-5326-1409"
100429924,봉안당,"대륜사 납골당","대구 동구 팔공로 1396-11",""
130291220,natural,"진주제일교회 수목장","경상남도 진주시 일반성면 운천리 산96","055-757-3535"
139730332,봉안당,"동천교회 납골묘","경기도 이천시 설성면 설성로240번길 285 (장천리)","02-831-0070"
141045382,natural,"베다니수목장","전라남도 순천시 서면 압곡리 156-2","061-744-7915"
160024798,봉안당,"대법륜사봉안당","경남 김해시 금관대로 1088-28","055-324-5457"
195666545,장례식장,"울산국화원장례식장 북울산지점","울산 북구 호계로 285","052-954-0444"
228592605,추모공원,"거창사건추모공원 위령탑","경남 거창군 신원면 신차로 2924",""
408479895,봉안당,"서흥김씨 납골당","경기 안성시 고삼면 고삼호수로 229-9",""
468526445,장례식장,"경북도립노인전문요양병원 장례식장","경북 안동시 남후면 남일로 1463",""
468710958,봉안당,"천주교부산교구 하늘공원 봉안당","경남 양산시 상북면 공원로3길 19","055-374-8733"
484589358,봉안당,"옥불사 봉안당","제주특별자치도 제주시 애월읍 평화로 2018","064-799-1783"
527306837,봉안당,"향동밀양박씨청제공파납골당","전남 진도군 고군면 향동리 447",""
530077252,봉안당,"초계주씨봉안당","충북 옥천군 안남면 도덕4길 29-35",""
586420417,natural,"무향사 수목장","경기 남양주시 수동면 비룡로 864-17",""
597838670,추모공원,"ROTC추모공원","경기 광주시 오포로 211-49","1588-5113"
601564584,추모공원,"서울추모공원 접수실","서울 서초구 양재대로12길 74","02-3498-2581"
692979791,봉안당,"은하수공원 봉안당","세종특별자치시 정안세종로 1527","1599-4411"
713488814,장례식장,"번동성당 장례식장","서울 강북구 한천로 945",""
736551892,추모공원,"안동추모공원 봉안","경북 안동시 풍산읍 본마을길 36-69","054-843-7023"
745057112,추모공원,"법보사추모공원","경북 영천시 신녕면 장수로 2238-9","054-336-0992"
764802391,natural,"용미리 수목장713","경기 파주시 광탄면 용미리 산 107",""
782191512,추모공원,"거창사건추모공원 천유문","경남 거창군 신원면 신차로 2924",""
805839542,추모공원,"현대공원 제2묘원 추모의집","경북 칠곡군 동명면 다부거문1길 51-75","054-973-6375"
809271001,장례식장,"한빛요양병원 장례식장","부산 사하구 사하로 55",""
844923743,봉안당,"김포시공설봉안당","경기 김포시 김포한강4로 419-39","031-997-1641"
851590981,추모공원,"삼척추모공원 2단지 국가유공자보훈존","강원특별자치도 삼척시 강원남부로 4540",""
973962748,추모공원,"열방센터 추모공원","경북 상주시 화서면 영남제일로 4496",""
991628826,장례식장,"신산장례식장","제주특별자치도 서귀포시 성산읍 독자봉로 281",""
997742163,장례식장,"장례식장상예원","충청남도 서천군 장항읍 장항산단로 344 (옥산리)","041-957-0004"
1021332092,추모공원,"함백광업소 추모공원","강원특별자치도 정선군 신동읍 방제리 산 117-5",""
1061863624,장례식장,"아라한국병원 장례식장","경남 함안군 산인면 학산2길 17-50","055-785-4444"
1083906671,장례식장,"푸디스트 쉴낙원남대전장례식장","대전 동구 산서로1660번길 142",""
1138433236,추모공원,"제주4.3 성산읍 희생자 추모공원","제주특별자치도 서귀포시 성산읍 고성리 224-1",""
1169834260,장례식장,"울산엘리야병원 장례식장","울산 북구 호계로 285","052-290-2100"
1177570189,추모공원,"휴림원 추모공원","경북 영천시 금호읍 죽방길 279-57","054-336-0992"
1182643292,추모공원,"표선면 4.3추모공원","제주특별자치도 서귀포시 표선면 하천리 1832-4",""
1211428590,장례식장,"송학주천장례식장","충청북도 제천시 송학주천로 97-1 (고암동)","043-653-4444"
1213636755,추모공원,"광령1리 추모공원","제주특별자치도 제주시 애월읍 광령리 1003-2",""
1260795506,추모공원,"용문사추모공원","경기 김포시 월곶면 대곶로 570","031-983-3960"
1275380654,봉안당,"휴안수기봉안함","경기 고양시 덕양구 호국로 1373","031-969-7631"
1279106262,추모공원,"낙안오씨 수옹공 종중 추모공원","전남 무안군 몽탄면 사창리 621",""
1316674905,추모공원,"안성맞춤추모공원","경기 안성시 보개면 신장길 79-42","031-677-3960"
1330187498,natural,"남지장사수목장","대구 달성군 가창면 남지장사길 95","053-768-9920"
1340769391,동물장례,"경남반려동물장례식장 하늘소풍","경남 고성군 회화면 봉오로 145-22","055-674-2525"
1396887495,봉안당,"봉선사 봉안당","경기도 남양주시 진접읍 봉선사길 30 (부평리, 봉선사)","031-527-1951"
1404257518,추모공원,"완주군 공설공원묘지 봉안당","전북특별자치도 완주군 봉동읍 우주로 262-121","063-290-2208"
1425778468,추모공원,"전농동성당평화묘원 봉안담","경기 포천시 화현면 지현리 산 27","031-532-9723"
1430294809,추모공원,"거창사건추모공원 안내실","경남 거창군 신원면 신차로 2924",""
1432447538,봉안당,"통영시공설봉안당 2관","경남 통영시 장대길 144",""
1626219668,장례식장,"중앙성당 장례식장","부산 중구 용두산길 9",""
1639400435,natural,"천화수목장","충북 영동군 심천면 마곡리 185-3","043-742-0078"
1654704741,장례식장,"영암효병원장례식장","전라남도 영암군 덕진면 예향로 1764 (덕진리, 효병원)","061-471-4441"
1701994287,추모공원,"의령4.26추모공원 위령탑","경남 의령군 궁류면 평촌리 10",""
1738991395,추모공원,"막벨라강화추모공원","서울 종로구 세종대로 149",""
1745736837,추모공원,"거창사건추모공원 거창사건희생자묘역","경남 거창군 신원면 신차로 2924",""
1758278984,추모공원,"동산추모공원 봉안담","강원특별자치도 춘천시 동산면 군자리 산 134-1","1577-9446"
1791270023,추모공원,"한국전쟁전후함양양민희생자추모공원","경남 함양군 수동면 도북리 764-1",""
1802245397,추모공원,"대원사추모공원 정토원","경북 경주시 양남면 명주길 864-5","054-743-1945"
1804968871,추모공원,"신영복선생 추모공원","서울 구로구 항동 산 23-1",""
1826510121,장례식장,"북촌리장례식장","제주특별자치도 제주시 조천읍 북선로 144",""
1852749379,추모공원,"금하 서상록 추모공원","전남 나주시 노안면 영평리 591-16",""
1856848851,natural,"연천 한맘가족사랑 수목장","경기 연천군 연천읍 고문리 산 71","1577-9678"
1857265265,추모공원,"천주교서울대교구 비봉103위성인추모공원","경기 화성시 비봉면 화성로1946번길 26-11",""
1889924013,추모공원,"부활동산 추모공원","경기 광주시 곤지암읍 가마을길 83-19","031-764-4005"
2114483229,추모공원,"증촌추모공원","대전 서구 평촌동 884-1","042-602-2500"
2139105112,sea,"에이치서비스 마린바다장","부산 해운대구 해운대해변로 84","051-704-9280"
