시설명,주소,전화번호
"현대공원2묘원","경상북도 칠곡군 동명면 다부거문1길 51-75 (가천리)","054-972-6375"
"홍천군공설묘원","강원특별자치도 홍천군 홍천읍 느리울길 141-22 (하오안리)","033-430-2106"
"전주효자공원","전라북도 전주시 완산구 콩쥐팥쥐로 1705-138 (효자동3가, 전주승화원)","063-239-2694"
"천주교효천공원묘지","광주광역시 남구 임암동 산86-3","062-233-0518"
"(재)청구공원","경상북도 칠곡군 지천면 백송로 197 (백운리)","054-972-1382"
"예래원(묘지)","경기도 동두천시 탑신로 668 (탑동동)","031-867-8707"
"선재리공설묘지","인천광역시 옹진군 영흥면 선재로226번길 85 (선재리)","032-899-2333"
"(재)자하연분당(묘지)","경기도 광주시 대명대길 57 (능평동, 판교공원묘지)","031-719-2780"
"진리공설묘지","인천광역시 옹진군 덕적면 진리 산340","032-899-2333"
"춘천안식공원(묘지)","강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)","033-263-6454"
"자월리공설묘지","인천광역시 옹진군 자월면 자월리 산308","032-899-2333"
"청북공설묘지","경기도 평택시 청북면 청북로 457-6 (율북리)","031-8024-8897"
"청솔공원","강원특별자치도 강릉시 사천면 청솔공원길 334 (석교리, 청솔공원관리사무소)","033-660-3857"
"안중공설묘지","경기도 평택시 안중읍 학현리 산12-1","031-8024-8526"
"처리공원묘지","경기도 여주시 점동면 처리 산6","031-887-3816"
"하다리공설공원묘지","경기도 여주시 흥천면 하다리 78-3","031-887-3884"
"(재)광주대교구 여수천주교공원묘원","전라남도 여수시 소라면 봉두리 산190-6","061-666-5004"
"모도리공설묘지","인천광역시 옹진군 북도면 모도리 산41","032-899-2333"
"(재)예다원 묘원","전라남도 여수시 소라면 운암길 6 (봉두리)","061-665-1004"
"신도리공설묘지","인천광역시 옹진군 북도면 신도리 산153-1","032-899-2333"
"장봉리공설묘지","인천광역시 옹진군 북도면 장봉로582번길 103 (장봉리, 장봉리공설묘지공원)","032-899-2333"
"송탄공설묘지","경기도 평택시 가재동 산64-1","031-8024-6273"
"와동꽃빛공원(공설묘지)","경기도 안산시 단원구 순환로 390 (와동)","031-481-3359"
"이천시설성공설공원묘지","경기도 이천시 설성면 수산리 82-2","031-644-8669"
"이작리공설묘지","인천광역시 옹진군 자월면 대이작로42번길 90 (이작리, 이작리공설묘지공원)","032-899-2333"
"완주군 공설공원묘지","전라북도 완주군 봉동읍 우주로 270-68 (구암리)","063-290-2208"
"오산시공설공원묘지","경기도 오산시 가장동 산72-2","031-370-3226"
"충효공원묘원","강원특별자치도 원주시 문막읍 만디길 62-58 (궁촌리)","033-732-0044"
"이천시대월공설공원묘지(만장)","경기도 이천시 대월면 초지리 산107-1","031-644-8611"
"수동공설묘지(만장)","경기도 남양주시 수동면 운수리 400-1","031-590-4287"
"재단법인 아너스홈(구 대성공원묘원)","충청남도 계룡시 두마면 제1산단로 68 (입암리)","042-585-0536"
"화도공설묘지(만장)","경기도 남양주시 화도읍 묵현리 산151","031-590-4287"
"점봉동 공원묘지","경기도 여주시 점봉동 산11-3","031-887-3771"
"충주시공설묘지","충청북도 충주시 주덕읍 화곡1길 430 (화곡리)","043-850-2301"
"대청리공설묘지","인천광역시 옹진군 대청면 대청리 산299","032-899-2333"
"가톨릭군위묘원","대구광역시 군위군 군위읍 용대2길 258 (용대리)","053-250-3000"
"진촌리공설묘지","인천광역시 옹진군 백령면 진촌리 산128-1","032-899-2333"
"(재)영락교회공원묘원","경기도 남양주시 진건읍 사릉로264번길 232 (사능리, 영락동산관리실)","031-573-8123"
"이천시장호원공설공원묘지(만장)","경기도 이천시 장호원읍 방추리 산64-7","031-644-8411"
"인제종합장묘센터 하늘공원","강원특별자치도 인제군 남면 자작나무숲길 56 (남전리)","033-462-6989"
"내리공설묘지","인천광역시 옹진군 영흥면 내리 산258","032-899-2333"
"현수리공원묘지","경기도 여주시 점동면 소피아그린길 62 (현수리)","031-887-2264"
"연평리공설묘지","인천광역시 옹진군 연평면 연평리 산10-113","032-899-2333"
"강릉공원묘원(묘지)","강원특별자치도 강릉시 사천면 청솔공원길 400 (석교리)","033-644-0533"
"남부권공설묘지","충청남도 당진시 대호지면 봉선길 123 (장정리, 어성정공동묘지)","041-362-7387"
"(재)자하연팔당(묘지)","경기도 양평군 양서면 목왕로688번길 71 (목왕리)","031-772-7102"
"중림동성당묘원","경기도 파주시 광탄면 혜음로 818-39 (분수리, 천주교중림공동묘지관리실)","031-947-0430"
"은광교회 묘지","경기도 파주시 조리읍 오산리 273-7","02-383-2111"
"양우회","인천광역시 서구 당하동 산161-1","032-563-5663"
"인천호남향우회","인천광역시 서구 당하동 산179-1","032-439-6767"
"성서공동묘지","대구광역시 달서구 달구벌대로276길 122 (장동)","053-586-6444"
"솔뫼공설묘지","충청남도 당진시 우강면 우강송산로 64 (송산리)","041-363-4786"
"석문공설묘지","충청남도 당진시 석문면 통정1길 86-38 (삼화리, 공설묘지관리사)","041-353-5944"
"(재)자하연 일산(묘지)","경기도 고양시 일산동구 지영로 36-87 (지영동)","031-977-8351"
"대호지공설묘지","충청남도 당진시 대호지면 봉선길 123 (장정리, 어성정공동묘지)","041-353-3044"
"영락공원묘지","광주광역시 북구 영락공원로 170 (효령동)","062-572-4384"
"남해추모누리 공설종합묘원","경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)","055-860-3681"
"해방교회공원묘원","경기도 파주시 월롱면 도내리 산30-1","02-793-8830"
"동명가족묘지","경상북도 칠곡군 동명면 경북대로 456-6 (금암리)","054-977-6377"
"동명공동묘지","경상북도 칠곡군 동명면 학명리 산145-1","054-977-6377"
"낙원공원묘원","경기도 파주시 송화로 118 (야동동)","031-941-6200"
"꽃동네 낙원묘지","충청북도 음성군 맹동면 원중로 1221 (통동리)","043-879-0106"
"양평군공설공원묘지","경기도 양평군 양평읍 중앙로111번길 54 (공흥리, 쉼터공원관리사무실)","031-770-3027"
"정주동산","경기도 연천군 청산면 긴여울길 165-20 (장탄리)","02-982-1135"
"(재)원주공원묘원","강원특별자치도 원주시 귀래면 귀문로 599 (귀래리)","033-765-0165"
"월곳리공설묘지","인천광역시 강화군 강화읍 월곳리 산8","032-930-3342"
"웅양공설공원묘지","경상남도 거창군 웅양면 죽림리 산108","055-940-3892"
"운경공원묘원","경기도 양주시 장흥면 호국로709번길 93-60 (울대리)","031-826-4821"
"월롱면 공설묘지","경기도 파주시 월롱면 덕은리 169-3","031-940-8065"
"용미리제2묘지","경기도 파주시 광탄면 진지로 151 (용미리, 추모의집)","031-943-3937"
"월평공설공원묘지","경상남도 거창군 남상면 월평리 산201","055-940-3892"
"유치공설공원묘지","전라남도 장흥군 유치면 대리 산105-1","061-863-0454"
"의령군공설묘지","경상남도 의령군 정곡면 법정로 580-9 (예둔리, 공설묘원)","055-574-0967"
"낙원공원 의정부묘원","경기도 포천시 소흘읍 무봉로 9-94 (무봉리)","031-542-1058"
"정왕공설묘지","경기도 시흥시 정왕동 산2-1","031-310-2265"
"인산리공설묘지","인천광역시 강화군 양도면 인산리 산225","032-937-2001"
"전곡읍공설묘지","경기도 연천군 전곡읍 고능리 산21-1","031-839-2586"
"순천시립공원묘지","전라남도 순천시 용수동길 920 (삼거동)","061-749-4520"
"장흥리공설묘지","인천광역시 강화군 길상면 장흥리 산69-1","032-930-3604"
"장계공설묘지","전라북도 장수군 장계면 금덕리 산74-1","063-350-2343"
"수산동공설묘지(매장불가)","인천광역시 남동구 수산동 산14","032-453-5522"
"황산병온공설묘지","전라남도 해남군 황산면 송호리 890","061-531-3473"
"장수동공설묘지(매장불가)","인천광역시 남동구 장수동 산133","032-453-5502"
"장정리공설묘지","인천광역시 강화군 하점면 장정리 산188","032-933-5302"
"장화리공설묘지","인천광역시 강화군 화도면 장화리 산354","032-930-3605"
"신림덕화공설묘지","전라북도 고창군 신림면 가평로 576 (덕화리)","063-560-2613"
"용미리제1묘지","경기도 파주시 광탄면 명봉산로262번길 290 (용미리, 용미1리1묘지공원안내실)","031-943-1930"
"양택공원묘지(봉안묘)","경기도 김포시 하성면 애기봉로681번길 87-30 (양택리, 양택공원묘지)","031-980-5362"
"양구군공설묘지","강원특별자치도 양구군 양구읍 금강산로 518-40 (하리)","033-481-4441"
"진달래공원묘원","충청남도 논산시 벌곡면 벌곡로 234-161 (신양리)","042-253-5770"
"장흥리공설묘지","인천광역시 강화군 길상면 장흥리 산69-1","032-930-3604"
"장계공설묘지","전라북도 장수군 장계면 금덕리 산74-1","063-350-2343"
"화산연정공설묘지","전라남도 해남군 화산면 연정리 산61","061-531-3072"
"연천읍공설묘지","경기도 연천군 연천읍 현가리 산16-1","031-839-2721"
"삼계공설묘지","경상북도 영덕군 영덕읍 삼계리 산66","054-730-7104"
"부산영락공원묘지","부산광역시 금정구 금정도서관로 108 (두구동, 영락공원)","051-790-5000"
"아산주진공설묘지","전라북도 고창군 아산면 주진리 산16","063-560-2603"
"죽변화성리공설묘지","경상북도 울진군 죽변면 성내길 116-9 (화성리, 울진공설묘지관리사무소)","054-789-6681"
"주문공설묘지","인천광역시 강화군 서도면 주문도리 산33","032-934-2183"
"신월공설묘지(만장)","경기도 광주시 초월읍 신월리 산68","031-760-2844"
"오룡군립묘원(묘지)","전라남도 담양군 무정면 오룡리 산29","061-380-3384"
"해남신안공설묘지","전라남도 해남군 해남읍 신안리 467-3","061-533-8806"
"오상리공설묘지","인천광역시 강화군 내가면 오상리 산91-2","032-930-3607"
"구미시옥계공설묘지(만장)","경상북도 구미시 옥계동 산5-1","054-480-5189"
"옥천군공설묘지","충청북도 옥천군 군서면 월전리 산19-1","043-733-4404"
"신서면공설묘지","경기도 연천군 신서면 도신리 산37-1","031-839-2595"
"온수리공설묘지","인천광역시 강화군 길상면 온수리 산21-16","032-930-3604"
"왕길공설묘지(만장)","인천광역시 서구 왕길동 산120","032-560-4544"
"양오리공설묘지","인천광역시 강화군 송해면 양오리 산184","032-930-3342"
"외포리공설묘지","인천광역시 강화군 내가면 외포리 산98-1","032-930-3607"
"상주시공설묘지(만장)","경상북도 상주시 낙동면 신상리 산8-1","054-532-5704"
"왕길조성묘지","인천광역시 서구 왕길동 산116","032-522-0507"
"송전공설묘지","경기도 용인시 처인구 이동읍 경기동로 793 (송전리, 용인시공설공원묘지)","031-329-3126"
"천주교부산교구 하늘공원","경상남도 양산시 상북면 공원로3길 19 (상삼리, 추모관)","055-374-8733"
"군산시공설묘지","전라북도 군산시 임피면 서원석곡로 436-34 (보석리, 승화원)","063-453-4055"
"광석리공설묘지","경기도 양주시 광적면 광석리 산1","031-8082-7610"
"금광공설묘지","경기도 안성시 금광면 금광리 산29","031-678-2232"
"가납리공설묘지","경기도 양주시 광적면 가납리 산14","031-8082-7610"
"재단법인금산공원묘원","대구광역시 군위군 효령면 점말길 23-55 (고곡리)","054-382-9623"
"구암리공설묘지","경기도 양주시 남면 구암리 산16","031-8082-7580"
"신암리공설묘지","경기도 양주시 남면 신암리 산69","031-8082-7580"
"신산리공설묘지","경기도 양주시 남면 신산리 산13","031-8082-7580"
"황방리공설묘지","경기도 양주시 남면 황방리 산8","031-8082-7580"
"한산리공설묘지","경기도 양주시 남면 한산리 220","031-8082-7580"
"김포공원법인묘지(대곶)","경기도 김포시 대곶면 상마신기로 82-58 (상마리)","031-987-2075"
"김포공원법인묘지(풍무)","경기도 김포시 장릉로 75 (풍무동)","031-984-5941"
"입암리공설묘지","경기도 양주시 남면 입암리 352-11","031-8082-7580"
"상수리공설묘지","경기도 양주시 남면 상수리 산21","031-8082-7580"
"남상공설공원묘지","경상남도 거창군 남상면 무촌리 산253","055-940-3892"
"두곡리공설묘지","경기도 양주시 남면 두곡리 산44","031-8082-7580"
"도하리공설묘지","경기도 양주시 은현면 도하리 산47","031-8082-7550"
"하패리공설묘지","경기도 양주시 은현면 하패리 산77","031-8082-7550"
"선암리공설묘지","경기도 양주시 은현면 선암리 산66-1","031-8082-7550"
"용암리공설묘지","경기도 양주시 은현면 용암리 산65-1","031-8082-7550"
"복지리 공설묘지","경기도 양주시 백석읍 복지리 산21","031-8082-7510"
"방성리공설묘지","경기도 양주시 백석읍 방성리 산41","031-8082-7510"
"답곡리 공설묘지","경기도 연천군 신서면 답곡리 산269","031-839-2217"
"군남면공설묘지","경기도 연천군 군남면 선곡리 산193","031-839-2723"
"우고리공설묘지","경기도 양주시 광적면 우고리 산1","031-8082-7610"
"종로성당 나자렛묘원","경기도 파주시 광탄면 혜음로 1276-25 (신산리)","031-947-0173"
"회정동공설묘지","경기도 양주시 회정동 산13","031-8082-7750"
"(재)안양공원묘원","경기도 안산시 상록구 오리골길 41 (양상동, 공동묘지관리소)","031-482-2949"
"봉양동공설묘지","경기도 양주시 봉양동 산87","031-8082-7750"
"가북공설공원묘지","경상남도 거창군 가북면 용암리 산125","055-940-3892"
"가조공설공원묘지","경상남도 거창군 가조면 일부리 산5","055-940-3892"
"광사동공설묘지","경기도 양주시 광사동 산137-1","031-8082-7750"
"마전동공설묘지","경기도 양주시 마전동 산3","031-8082-7714"
"갑향군립묘원(묘지)","전라남도 담양군 대전면 추성로 468 (갑향리, 갑향공원)","061-380-3383"
"거창공설공원묘지","경상남도 거창군 거창읍 가지리 산170","055-942-6836"
"어둔동공설묘지","경기도 양주시 어둔동 산102","031-8082-7714"
"유양동공설묘지","경기도 양주시 유양동 산99","031-8082-7714"
"고려공원법인묘지","경기도 김포시 감정동 629-21","031-983-8433"
"장기공설공원묘원","경상남도 고성군 동해면 장기리 산209-2","055-670-2372"
"고제공설공원묘지","경상남도 거창군 고제면 봉산리 1314","055-940-3892"
"삼하리공설묘지","경기도 양주시 장흥면 삼하리 산35","031-8082-7634"
"삼상리공설묘지","경기도 양주시 장흥면 삼상리 산34-1","031-8082-7634"
"관인면 제1공설묘지","경기도 포천시 관인면 사정리 산11","031-538-4661"
"교산1리공설묘지","인천광역시 강화군 양사면 교산리 산307","032-934-2183"
"비암리공설묘지","경기도 양주시 광적면 비암리 산18","031-8082-7610"
"석우리공설묘지","경기도 양주시 광적면 광적로156번길 27-6 (석우리)","031-8082-7610"
"구리시공설묘지","경기도 구리시 사노동 산175-20","031-550-2955"
"덕도리공설묘지","경기도 양주시 광적면 덕도리 산27","031-8082-7610"
"대곡공설묘지(만장)","인천광역시 서구 대곡동 산202","032-560-4544"
"(재)대명공원묘원","경상북도 경주시 강동면 비학로 50-126 (단구리)","054-762-3810"
"포내공설묘지","경기도 김포시 월곶면 포내리 산36","031-980-5347"
"백운공원묘원 제1묘원","부산광역시 기장군 정관읍 정관로 165 (두명리)","051-508-2934"
"백운공원묘원 제2묘원","부산광역시 기장군 정관읍 양수1길 17-5 (모전리, 백운묘원관리소)","051-727-3188"
"가톨릭 범물공원묘원","대구광역시 수성구 범안로 120 (범물동)","053-250-3000"
"익산하늘공원묘지","전라북도 익산시 무왕로 1471-63 (석왕동, 익산공원묘지)","063-859-3847"
"통일촌 공설묘지","경기도 파주시 군내면 백연리 산27","031-940-8246"
"탄현면 공설묘지","경기도 파주시 탄현면 금승리 산22","031-940-8085"
"부안수동공설묘지","전라북도 고창군 부안면 수동리 산51-10","063-560-2614"
"부안용산공설묘지","전라북도 고창군 부안면 복분자로 567-2 (용산리)","063-560-2614"
"북상공설공원묘지","경상남도 거창군 북상면 월성리 산150","055-940-3892"
"북양공설공원묘지","경기도 화성시 남양읍 북양리 산109-14","031-369-3157"
"안성시공설공원묘지(사곡동)","경기도 안성시 안성맞춤대로 1423-19 (사곡동)","031-675-3766"
"사천시공설묘지","경상남도 사천시 사천읍 구암리 산15-2","055-831-2652"
"상리공설묘지","인천광역시 강화군 삼산면 상리 산177","032-930-3342"
"초원지공설묘지","경기도 김포시 대곶면 초원지리 산14","031-980-5338"
"상신공원묘지","경기도 화성시 향남읍 상신리 산96","031-369-3157"
"선단동공설묘지","경기도 포천시 원동교길 259 (동교동)","031-538-4811"
"천주교성환공원묘지","충청남도 아산시 음봉면 연암율금로 345-58 (소동리, 성환공원묘지)","041-546-7265"
"성석동공설묘지(만장)","경기도 고양시 일산동구 성석동 973-23","031-8075-3305"
"성주군공설묘지","경상북도 성주군 선남면 관화리 산31-1","054-930-6231"
"미법리공설묘지","인천광역시 강화군 삼산면 미법리 산12","032-930-3342"
"문형공설묘지(만장)","경기도 광주시 문형동 산65","031-760-2844"
"대전공원묘원","세종특별자치시 장군면 정동길 31-30 (금암리, 대전공원묘원)","041-856-8851"
"화현면공설묘지","경기도 포천시 화현면 지현리 산24","031-538-3836"
"화천공원묘원","강원특별자치도 화천군 하남면 원천리 9-13","033-440-2316"
"화교화원","경기도 파주시 광탄면 샘말길 102 (용미리)","031-942-0451"
"영암군덕진공설묘지","전라남도 영암군 덕진면 영보리 산24","061-470-2642"
"덕포리공설묘지","인천광역시 강화군 화도면 덕포리 산83","032-930-3605"
"도림동공설묘지(매장불가)","인천광역시 남동구 도림동 산33","032-453-5522"
"동산리공설묘지","인천광역시 강화군 교동면 동산리 산5","032-930-3611"
"(재)평화공원","충청남도 금산군 복수면 복수로 1015-81 (신대리)","041-752-8503"
"하일리공설묘지","인천광역시 강화군 양도면 하일리 산21","032-937-2001"
"장흥공설공원묘지","전라남도 장흥군 장흥읍 금산신기길 131 (금산리, 공원묘지관리실)","061-863-0454"
"무궁화공원묘원","경기도 양평군 서종면 잠실2길 120 (도장리)","031-771-1400"
"망월묘지공원","광주광역시 북구 민주로 285 (운정동)","062-266-8170"
"하늘공원(부곡동공설공원묘지)","경기도 안산시 상록구 수인로 1824 (부곡동)","031-481-3257"
"소흘읍제3공설묘지","경기도 포천시 소흘읍 고모리 산 99번지","031-538-4122"
"소흘읍제2공설묘지","경기도 포천시 소흘읍 무림리 산41번지","031-538-4122"
"내촌면 제2공설묘지","경기도 포천시 내촌면 진목리 산292","031-538-4261"
"일동면 공설묘지","경기도 포천시 일동면 사직리 산141","031-538-4511"
"내유동공설묘지(만장)","경기도 고양시 덕양구 내유동 산82","031-8075-3305"
"천주교 대구대교구청 성직자묘지","대구광역시 중구 남산로4길 112 (남산동, 신관)","053-250-3002"
"신북면 제3공설묘지","경기도 포천시 신북면 삼성당리 산83","031-538-4361"
"무궁화공원묘원","경기도 양평군 서종면 잠실2길 120 (도장리)","031-771-1400"
"망월묘지공원","광주광역시 북구 민주로 285 (운정동)","062-266-8170"
"영중면 제1공설묘지","경기도 포천시 영중면 금주리 산180","031-538-4461"
"내촌면 제4공설묘지","경기도 포천시 내촌면 신팔리 산167","031-538-4261"
"내촌면 제3공설묘지","경기도 포천시 내촌면 마명리 산38","031-538-4261"
"군내면 제2공설묘지","경기도 포천시 군내면 구읍리 131-14","031-538-4211"
"군내면 제1공설묘지","경기도 포천시 군내면 구읍리 산2-1","031-538-4211"
"내리공설묘지(화도면)","인천광역시 강화군 화도면 안골길 27-40 (내리)","032-930-3605"
"신북면 제6공설묘지","경기도 포천시 신북면 삼정리 산179","031-538-4361"
"신북면 제5공설묘지","경기도 포천시 신북면 삼정리 산181","031-538-4361"
"신북면 제4공설묘지","경기도 포천시 신북면 고일리 산83","031-538-4361"
"신북면 제2공설묘지","경기도 포천시 신북면 갈월리 산222","031-538-4361"
"영북면 제1공설묘지","경기도 포천시 영북면 운천리 산25","031-538-4611"
"영중면 제2공설묘지","경기도 포천시 영중면 거사리 산151","031-538-4461"
"영중면 제1공설묘지","경기도 포천시 영중면 금주리 산180","031-538-4461"
"영북면 제2공설묘지","경기도 포천시 영북면 자일리 산7","031-538-4611"
"관인면 제2공설묘지","경기도 포천시 관인면 냉정리 산149-1","031-538-4661"
"가산면 제4공설묘지","경기도 포천시 가산면 우금리 산6-1","031-538-4311"
"운연동공설묘지(매장불가)","인천광역시 남동구 운연동 산45, 산89","032-453-5502"
"가산면 제3공설묘지","경기도 포천시 가산면 금현리 740","031-538-4311"
