시설명,주소,전화번호
"신북면 제6공설묘지","경기도 포천시 신북면 삼정리 산179","031-538-4361"
"신북면 제5공설묘지","경기도 포천시 신북면 삼정리 산181","031-538-4361"
"신북면 제4공설묘지","경기도 포천시 신북면 고일리 산83","031-538-4361"
"운연동공설묘지(매장불가)","인천광역시 남동구 운연동 산45, 산89","032-453-5502"
"이동공설묘지(만장)","경기도 의왕시 이동 산57","031-345-2833"
"학의동공설묘지(만장)","경기도 의왕시 학의동 산14","031-345-2833"
"안양시청계공설묘지(만장)","경기도 의왕시 청계동 산8-5","031-421-9165"
"천도교 무봉공원","경기도 포천시 소흘읍 무봉리 산141-1","02-732-3956"
"혜화동성당 도봉동묘원","서울특별시 도봉구 도봉동 산66-9","02-764-0221"
"동강면공설묘지","전라남도 나주시 동강면 월양리 15-11","061-339-3538"
"두운리공동묘지","인천광역시 강화군 불은면 두운리 산243","032-937-5301"
"문평면공설묘지","전라남도 나주시 문평면 북동리 산119-3","061-339-8474"
"반남면공설묘지","전라남도 나주시 반남면 흥덕리 302-33","061-339-3658"
"보성공설묘지","전라남도 보성군 보성읍 대야리 1644-1","061-850-5614"
"봉황면공설묘지","전라남도 나주시 봉황면 철천리 산132","061-339-8473"
"덕하2리공설묘지","인천광역시 강화군 양사면 덕하리 산352","032-934-2183"
"가평읍 공설묘지(구 제1공설묘지)","경기도 가평군 가평읍 상색리 산64-3","031-580-4010"
"공산면공설묘지","전라남도 나주시 공산면 금곡리 317-3","061-339-3686"
"금남동공설묘지","전라남도 나주시 보산동 산3","061-339-8475"
"내곡리묘지","경기도 남양주시 진접읍 내곡리 558-3","02-434-3337"
"성북동공설묘지","전라남도 나주시 대호동 산161","061-339-8474"
"영산동공설묘지","전라남도 나주시 평산동 산65-4","061-339-8475"
"세지면공설묘지","전라남도 나주시 세지면 대산리 산108","061-339-3621"
"왕곡면공설묘지","전라남도 나주시 왕곡면 덕산리 산74","061-339-3639"
"안덕면공설묘지","제주특별자치도 서귀포시 안덕면 상창리 1119","064-760-4331"
"영강동공설묘지","전라남도 나주시 안창동 97","061-339-8473"
"이창동공설묘지","전라남도 나주시 이창동 산19-1","061-339-8474"
"(재)분당메모리얼파크","경기도 성남시 분당구 새나리로 79 (야탑동)","031-704-6508"
"(재)대한예수교장로회 기독교공동묘원","제주특별자치도 제주시 아라일동 296","064-753-1231"
"(재)전주공원묘원","전라북도 진안군 부귀면 모래재로 571 (세동리, 모래공원)","063-433-9104"
"금천면공설묘지(폐쇄)","전라남도 나주시 금천면 오강리 산33","061-339-8475"
"(재)하늘공원 묘원","전라북도 무주군 적상면 방이리 산158-1","063-320-4000"
"(재)금곡장미공원","경상북도 경산시 남천면 금곡길 28-75 (금곡리)","053-814-8800"
"혜화동성당 방학동묘원","서울특별시 도봉구 방학동 산65-1","02-764-0221"
"노안면공설묘지(폐쇄)","전라남도 나주시 노안면 유곡리 산163","061-061-8604"
"산곡동공설묘지","경기도 의정부시 산곡동 산74","031-828-4195"
"서울노회유지재단 법인묘지","경기도 가평군 상면 물골길 393 (봉수리, 남부교회수양관)","02-763-7279"
"(재)동산공원묘원 묘지","경상남도 의령군 부림면 함의로 2180-269 (경산리)","055-574-8181"
"(재)성산공원(묘지)","전라북도 군산시 성산면 왕골로 239-29 (대명리, 성산공원)","063-453-5510"
"(재)천주교유지재단 청주교구묘원","충청북도 증평군 증평읍 미암리 산114-1","043-838-8141"
"김포성당 매괴의모후 묘원","경기도 김포시 북변로 29-12 (북변동)","031-983-8811"
"칠곡성당공동묘원","대구광역시 북구 읍내동 산83","053-323-1501"
"대구중앙교회 부활의동산","대구광역시 북구 읍내동 산58","053-341-2511"
"광양시립영세공원 묘지","전라남도 광양시 광양읍 직동1길 300 (죽림리)","061-762-4449"
"구룡공설공원묘지","경상남도 함양군 함양읍 구룡리 산11","055-960-4920"
"영암군군서공설묘지","전라남도 영암군 군서면 동구림리 산42","061-470-2647"
"영암군시종공설묘지","전라남도 영암군 시종면 월송리 산1","061-470-2645"
"영암군학산공설묘지","전라남도 영암군 학산면 상월리 산139-13","061-470-2649"
"안양시안산공설묘지(만장)","경기도 안산시 단원구 화정동 산116-1",""
"용산성당 청계묘원","경기도 의왕시 학의동 산12-1","02-713-7508"
"구미시선산공설묘지(만장)","경상북도 구미시 선산읍 봉곡리 산41","054-480-5188"
"대야리공설묘지","강원특별자치도 영월군 김삿갓면 대야리 산56","033-370-2315"
"청암교회(청암동산)","경기 파주시 조리읍 뇌조리 568-5","02-702-6761"
"오식도공설묘지(민간위탁)","전라북도 군산시 오식도동 503-2","063-445-3400"
"불광동성당 바다의별묘원","경기도 파주시 광탄면 신산리 산3-1","02-355-0545"
