시설명,주소,전화번호
"(재)영락교회공원묘원","경기도 남양주시 진건읍 사릉로264번길 232 (사능리, 영락동산관리실)","031-573-8123"
"이천시장호원공설공원묘지(만장)","경기도 이천시 장호원읍 방추리 산64-7","031-644-8411"
"(재)자하연 일산(묘지)","경기도 고양시 일산동구 지영로 36-87 (지영동)","031-977-8351"
"수산동공설묘지(매장불가)","인천광역시 남동구 수산동 산14","032-453-5522"
"황산병온공설묘지","전라남도 해남군 황산면 송호리 890","061-531-3473"
"장수동공설묘지(매장불가)","인천광역시 남동구 장수동 산133","032-453-5502"
"양택공원묘지(봉안묘)","경기도 김포시 하성면 애기봉로681번길 87-30 (양택리, 양택공원묘지)","031-980-5362"
"신월공설묘지(만장)","경기도 광주시 초월읍 신월리 산68","031-760-2844"
"구미시옥계공설묘지(만장)","경상북도 구미시 옥계동 산5-1","054-480-5189"
"왕길공설묘지(만장)","인천광역시 서구 왕길동 산120","032-560-4544"
"상주시공설묘지(만장)","경상북도 상주시 낙동면 신상리 산8-1","054-532-5704"
"재단법인금산공원묘원","대구광역시 군위군 효령면 점말길 23-55 (고곡리)","054-382-9623"
"김포공원법인묘지(대곶)","경기도 김포시 대곶면 상마신기로 82-58 (상마리)","031-987-2075"
"(재)안양공원묘원","경기도 안산시 상록구 오리골길 41 (양상동, 공동묘지관리소)","031-482-2949"
"대곡공설묘지(만장)","인천광역시 서구 대곡동 산202","032-560-4544"
"(재)대명공원묘원","경상북도 경주시 강동면 비학로 50-126 (단구리)","054-762-3810"
"성석동공설묘지(만장)","경기도 고양시 일산동구 성석동 973-23","031-8075-3305"
"문형공설묘지(만장)","경기도 광주시 문형동 산65","031-760-2844"
"도림동공설묘지(매장불가)","인천광역시 남동구 도림동 산33","032-453-5522"
"(재)평화공원","충청남도 금산군 복수면 복수로 1015-81 (신대리)","041-752-8503"
"내유동공설묘지(만장)","경기도 고양시 덕양구 내유동 산82","031-8075-3305"
"운연동공설묘지(매장불가)","인천광역시 남동구 운연동 산45, 산89","032-453-5502"
"이동공설묘지(만장)","경기도 의왕시 이동 산57","031-345-2833"
"학의동공설묘지(만장)","경기도 의왕시 학의동 산14","031-345-2833"
"안양시청계공설묘지(만장)","경기도 의왕시 청계동 산8-5","031-421-9165"
"천도교 무봉공원","경기도 포천시 소흘읍 무봉리 산141-1","02-732-3956"
"혜화동성당 도봉동묘원","서울특별시 도봉구 도봉동 산66-9","02-764-0221"
"가평읍 공설묘지(구 제1공설묘지)","경기도 가평군 가평읍 상색리 산64-3","031-580-4010"
"(재)분당메모리얼파크","경기도 성남시 분당구 새나리로 79 (야탑동)","031-704-6508"
"(재)대한예수교장로회 기독교공동묘원","제주특별자치도 제주시 아라일동 296","064-753-1231"
"금천면공설묘지(폐쇄)","전라남도 나주시 금천면 오강리 산33","061-339-8475"
"(재)하늘공원 묘원","전라북도 무주군 적상면 방이리 산158-1","063-320-4000"
"(재)금곡장미공원","경상북도 경산시 남천면 금곡길 28-75 (금곡리)","053-814-8800"
"노안면공설묘지(폐쇄)","전라남도 나주시 노안면 유곡리 산163","061-061-8604"
"산곡동공설묘지","경기도 의정부시 산곡동 산74","031-828-4195"
"서울노회유지재단 법인묘지","경기도 가평군 상면 물골길 393 (봉수리, 남부교회수양관)","02-763-7279"
"(재)동산공원묘원 묘지","경상남도 의령군 부림면 함의로 2180-269 (경산리)","055-574-8181"
"(재)천주교유지재단 청주교구묘원","충청북도 증평군 증평읍 미암리 산114-1","043-838-8141"
"칠곡성당공동묘원","대구광역시 북구 읍내동 산83","053-323-1501"
"대구중앙교회 부활의동산","대구광역시 북구 읍내동 산58","053-341-2511"
"영암군학산공설묘지","전라남도 영암군 학산면 상월리 산139-13","061-470-2649"
"안양시안산공설묘지(만장)","경기도 안산시 단원구 화정동 산116-1",""
"용산성당 청계묘원","경기도 의왕시 학의동 산12-1","02-713-7508"
"구미시선산공설묘지(만장)","경상북도 구미시 선산읍 봉곡리 산41","054-480-5188"
"오식도공설묘지(민간위탁)","전라북도 군산시 오식도동 503-2","063-445-3400"
"불광동성당 바다의별묘원","경기도 파주시 광탄면 신산리 산3-1","02-355-0545"
