시설명,주소,전화번호,출처파일
"수성요양병원장례식장","대구광역시 수성구 동대구로 148 (황금동, 수성요양병원)","053-766-4444","15774129-2025-12-22 dae.csv"
"강북장례식장","대구광역시 북구 칠곡중앙대로 504-6 (읍내동)","053-313-1024","15774129-2025-12-22 dae.csv"
"에스병원장례식장","대구광역시 달서구 와룡로 57 (본리동)","053-567-0909","15774129-2025-12-22 dae.csv"
"케이마디병원장례식장","대구광역시 북구 팔달로 217 (노원동2가)","053-353-4442","15774129-2025-12-22 dae.csv"
"효경G병원장례식장","대구광역시 동구 화랑로 157 (효목동)","053-746-9310","15774129-2025-12-22 dae.csv"
"중앙요양병원 장례식장(구.가야기독)","대구광역시 달서구 월배로83길 14 (송현동)","053-627-4444","15774129-2025-12-22 dae.csv"
"안심병원장례식장","대구광역시 동구 안심로41길 50 (서호동)","053-962-1024","15774129-2025-12-22 dae.csv"
"모레아장례식장","대구광역시 수성구 유니버시아드로 365 (욱수동)","053-801-9999","15774129-2025-12-22 dae.csv"
"성서병원장례식장","대구광역시 달서구 달구벌대로 1152, B2층 (신당동, 성서병원)","053-581-4444","15774129-2025-12-22 dae.csv"
"계산성당 연도실","대구광역시 중구 서성로 10 (계산동2가, 천주교계산천주교회)","053-256-2046","15774129-2025-12-22 dae.csv"
"광주광역시 광산구 임방울대로 24 (우산동)","tel:062-611-0000","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 동구 필문대로 365 (서석동)","tel:062-220-3352","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 광산구 수완로 6 (신가동)","tel:062-959-4444","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 광산구 첨단월봉로 99 (산월동, 광주보훈병원)","tel:062-973-9164","https://15774129.go.kr/img/portal/sub/mark2.png","15774129-2025-12-22 gang.csv"
"광주광역시 동구 제봉로 42 (학동, 전남대학교병원)","tel:062-220-5049","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 서구 풍서좌로 173-1 (매월동)","tel:062-527-1000","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 북구 면앙로139번길 51, 지하2층 (두암동)","tel:062-260-7850","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 북구 태봉로 32 (유동, 천주의성요한병의원)","tel:062-510-3005","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 남구 서문대로499번길 26-15 (송하동)","tel:062-675-5000","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 북구 하서로663번길 97 (용전동)","tel:062-250-4455","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 광산구 북문대로 603 (수완동)","tel:062-951-1004","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 북구 독립로 409 (우산동)","tel:062-960-4444","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 서구 풍서좌로 237 (매월동)","tel:062-521-4444","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 서구 회재로 825 (매월동)","tel:062-606-4000","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 광산구 용아로 259 (산정동, 하남성심병원)","tel:062-954-4444","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 북구 양일로 309 (일곡동)","tel:062-574-4445","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 동구 중앙로 283-1 (계림동)","tel:062-223-7715","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 서구 무진대로 975,지하1층 (광천동)","tel:062-365-4004","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 남구 양림로 37 (양림동, 광주기독병원)","tel:062-653-4400","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 동구 남문로 697 (학동)","tel:062-227-4000","","15774129-2025-12-22 gang.csv"
"광주광역시 광산구 상무대로 364 (신촌동)","tel:062-941-4400","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 광산구 목련로 316 (신가동)","tel:062-962-4444","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 광산구 송도로 232.지하1층 (송정동)","tel:062-949-9444","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 광산구 상무대로 231 (송정동, 빛장례식장)","tel:062-452-4000","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"광주광역시 서구 월드컵4강로 223 (쌍촌동)","tel:062-380-3444","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22 gang.csv"
"대전광역시 서구 갑천도시고속도로 1893 (월평동)","tel:042-522-4494","https://15774129.go.kr/img/portal/sub/mark2.png","15774129-2025-12-22daejeon.csv"
"대전광역시 서구 갑천도시고속도로 1895 (월평동)","tel:042-522-4444","https://15774129.go.kr/img/portal/sub/mark2.png","15774129-2025-12-22daejeon.csv"
"대전광역시 대덕구 대청로82번길 147 (신탄진동)","tel:042-933-4446","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 서구 갈마로 45,지하1층 (갈마동)","tel:042-533-4400","https://15774129.go.kr/img/portal/sub/mark2.png","15774129-2025-12-22daejeon.csv"
"대전광역시 동구 산서로1660번길 142 (대별동)","tel:042-285-4004","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 유성구 북유성대로 93,B1층 (지족동)","tel:042-825-9494","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 중구 대전천서로 745 (중촌동)","tel:042-531-4444","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 중구 문화로 282 (대사동, 충남대학교병원)","tel:042-280-8181","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 서구 관저동로 158 (관저동)","tel:042-600-6666","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 동구 동서대로 1672 (성남동, 대전한국병원)","tel:042-638-4440","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 서구 계백로 1322 (정림동, 대청병원)","tel:042-587-4442","https://15774129.go.kr/img/portal/sub/mark4.png","15774129-2025-12-22daejeon.csv"
"대전광역시 중구 대흥로 64 (대흥동, 가톨릭대학교대전성모병원)","tel:042-220-9870","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 중구 목중로 29 (목동)","tel:042-253-4445","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 서구 둔산서로 95 (둔산동, 을지대학병원)","tel:042-611-3980","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 유성구 온천동로 43 (봉명동)","tel:042-611-9700","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 대덕구 계족로 637 (법동, 근로복지공단대전병원)","tel:042-628-4440","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 동구 동부로 150 (용운동)","tel:042-368-4000","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 서구 갈마로 122 (괴정동)","tel:042-520-6690","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"대전광역시 중구 보문산로 359, 별관 (문화동)","tel:042-253-4801","https://15774129.go.kr/img/portal/sub/mark1.png","15774129-2025-12-22daejeon.csv"
"쉴낙원 홍천장례문화원","강원도 홍천군 홍천읍 설악로 2374 (와동리)","033-434-7788","15774129-2025-12-22gangwon.csv"
"(주)서원 바른장례식장","강원도 원주시 판부면 치악로 1133 (금대리)","033-735-4444","15774129-2025-12-22gangwon.csv"
"삼척의료원장례식장","강원도 삼척시 오십천로 418 (남양동)","033-572-1141","15774129-2025-12-22gangwon.csv"
"양구군장례식장","강원도 양구군 양구읍 금강산로 518-25 (하리)","033-480-2576","15774129-2025-12-22gangwon.csv"
"김화장례문화원","강원특별자치도 철원군 서면 와수로 13 (와수리)","033-458-0010","15774129-2025-12-22gangwon.csv"
"대성장례센터","강원특별자치도 횡성군 횡성읍 횡성로 273 (입석리, 장례식장)","033-343-1444","15774129-2025-12-22gangwon.csv"
"횡성삼성병원장례식장","강원특별자치도 횡성군 횡성읍 삼일로81번길 40 (읍하리, 횡성삼성병원)","033-342-4444","15774129-2025-12-22gangwon.csv"
"횡성장례문화센터","강원특별자치도 횡성군 횡성읍 학오로 56 (학곡리, 횡성군학곡1리장례식장)","033-344-4449","15774129-2025-12-22gangwon.csv"
"철원장례문화원","강원도 철원군 동송읍 금학로157번길 23-17 (이평리)","033-456-4444","15774129-2025-12-22gangwon.csv"
"강원도강릉의료원장례식장","강원도 강릉시 경강로 2007,강릉의료원 (남문동)","033-610-1444","15774129-2025-12-22gangwon.csv"
"정선군사북장례식장","강원도 정선군 사북읍 지장천로 727,정선군사북장례식장 (사북리, 정선군립병원)","033-592-4449","15774129-2025-12-22gangwon.csv"
"더원실업 우란장례식장","강원도 강릉시 옥가로 30 (옥천동)","033-649-0135","15774129-2025-12-22gangwon.csv"
"고색의료재단 장례식장","강원도 원주시 북원로 2636 (태장동)","033-732-4670","15774129-2025-12-22gangwon.csv"
"양양장례문화원","강원특별자치도 양양군 양양읍 양양로 9-1 (연창리)","033-671-0404","15774129-2025-12-22gangwon.csv"
"동해병원장례식장","강원도 동해시 하평로 11 (평릉동, 산재의료관리원동해병원)","033-535-3001","15774129-2025-12-22gangwon.csv"
"수장례식장","강원도 원주시 문막읍 원문로 1419 (동화리, 연세메디하임병원)","033-745-4440","15774129-2025-12-22gangwon.csv"
"강릉동인병원장례식장","강원도 강릉시 강릉대로419번길 42 (포남동)","033-650-6165","15774129-2025-12-22gangwon.csv"
"서해장례문화원","인천광역시 강화군 강화읍 중앙로74번길 10 (남산리)","032-933-4463","15774129-2025-12-22in.csv"
"국제성모장례식장","인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)","032-290-3501","15774129-2025-12-22in.csv"
"인천성모장례식장","인천광역시 부평구 동수로 56 (부평동, 가톨릭대학교인천성모병원)","032-517-0710","15774129-2025-12-22in.csv"
"청기와장례식장(계양점)","인천광역시 계양구 아나지로 559 (서운동)","032-546-4444","15774129-2025-12-22in.csv"
"인천삼성장례문화원","인천광역시 중구 우현로62번길 34-1 (경동)","032-777-4445","15774129-2025-12-22in.csv"
"(주)세종병원장례식장","인천광역시 계양구 계양문화로 20 (작전동, 인천세종병원)","032-240-8444","15774129-2025-12-22in.csv"
"더연수장례식장","인천광역시 연수구 벚꽃로 122 (연수동)","032-819-1024","15774129-2025-12-22in.csv"
"보람새천년장례식장","인천광역시 계양구 아나지로 541 (서운동)","032-552-3100","15774129-2025-12-22in.csv"
"에스엘 부평지점 세림병원 장례식장","인천광역시 부평구 부평대로 175 (청천동, 부평세림병원)","032-523-8844","15774129-2025-12-22in.csv"
"청기와장례식장(송림점)","인천광역시 동구 방축로177번길 23 (송림동)","032-583-4444","15774129-2025-12-22in.csv"
"검단탑병원장례식장","인천광역시 서구 청마로19번길 5 (당하동)","032-565-4444","15774129-2025-12-22in.csv"
"송도하나장례문화원","인천광역시 미추홀구 아암대로253번길 36 (학익동 587-78) 송도하나요양병원 - 송도하나장례문화원","032-832-4443","15774129-2025-12-22in.csv"
"길병원장례식장","인천광역시 남동구 인주대로653번길 56 (구월동, 길병원장례식장)","032-460-3444","15774129-2025-12-22in.csv"
"학교법인영산학원시민장례식장","인천광역시 미추홀구 석정로64번길 22 (숭의동, 시민장례식장)","032-889-4644","15774129-2025-12-22in.csv"
"세종충남대학교병원 쉴낙원장례식장","세종특별자치시 보듬7로 20 세종충남대학교병원 (아름동)","044-863-4444","15774129-2025-12-22sejong.csv"
"한마음효병원장례식장","세종특별자치시 조치원읍 금이로 53-11 (신안리)","044-868-3700","15774129-2025-12-22sejong.csv"
"국민요양병원장례식장","울산광역시 남구 번영로 15 (야음동)","052-269-0119","15774129-2025-12-22woolsan.csv"
"울산영락원","울산광역시 남구 산업로517번길 10 (여천동, 울산영락원장례식장)","052-272-1111","15774129-2025-12-22woolsan.csv"
"소다미(주)동강병원장례식장","울산광역시 중구 태화로 240지하1,2층 (태화동, 동강병원남관)","052-241-1440","15774129-2025-12-22woolsan.csv"
"보람상조개발(주)양산부산대병원장례식장","경상남도 양산시 물금읍 금오로 20 (양산부산대학교병원 장례식장)","055-372-4447","15774129-2025-12-22경남.csv"
"창원경상대학교병원장례식장","경상남도 창원시 성산구 삼정자로 9 (성주동)","055-214-1900","15774129-2025-12-22경남.csv"
"신세계장례식장","경상남도 창원시 마산회원구 내서읍 죽암로 89 (호계리, 신세계요양병원)","055-715-5444","15774129-2025-12-22경남.csv"
"삼성창원병원장례식장","경상남도 창원시 마산회원구 팔용로 158 (합성동, 삼성창원병원)","055-233-5131","15774129-2025-12-22경남.csv"
"웅상중앙병원장례식장","경상남도 양산시 서창로 59 (명동)","055-912-4440","15774129-2025-12-22경남.csv"
"경상남도 마산의료원 장례식장","경상남도 창원시 마산합포구 3.15대로 231 (마산의료원 장례식장)","055-249-1700","15774129-2025-12-22경남.csv"
"창녕전문장례식장","경상남도 창녕군 창녕읍 창녕대로 120 (탐하리)","055-532-4445","15774129-2025-12-22경남.csv"
"(주)합천장례식장","경상남도 합천군 대양면 동부로 64-2 (정양리)","055-932-7000","15774129-2025-12-22경남.csv"
"SMG연세병원장례식장","경상남도 창원시 마산합포구 3.15대로 76 (월남동2가)","055-223-1000","15774129-2025-12-22경남.csv"
"합천고려병원 장례식장","경상남도 합천군 대양면 대야로 737-20 (정양리)","055-931-4464","15774129-2025-12-22경남.csv"
"함양제일장례식장","경상남도 함양군 함양읍 고운로 476-19 (백천리)","055-962-4002","15774129-2025-12-22경남.csv"
"백병원대명아임레디장례식장","경상남도 거제시 계룡로5길 14 (상동동, 거붕백병원)","055-636-3112","15774129-2025-12-22경남.csv"
"거창적십자병원장례식장","경상남도 거창군 거창읍 중앙로 91 (상림리, 거창적십자병원)","055-944-4482","15774129-2025-12-22경남.csv"
"영락원전문장례식장","경상남도 창원시 마산회원구 봉양로 152 (봉암동)","055-292-4444","15774129-2025-12-22경남.csv"
"엠마우스병원 장례식장","경상남도 진주시 남강로 25 (평거동)","055-745-4444","15774129-2025-12-22경남.csv"
"양산장례식장","경상남도 양산시 동면 남양산길 73, 양산장례식장","055-366-4440","15774129-2025-12-22경남.csv"
"남해병원장례식장","경상남도 남해군 남해읍 화전로 175 (아산리)","055-863-5444","15774129-2025-12-22경남.csv"
"하동병원장례식장","경상남도 하동군 하동읍 화심길 51-7 (두곡리)","055-884-7044","15774129-2025-12-22경남.csv"
"김해복음병원장례식장","경상남도 김해시 활천로 33,지하1층김해복음병원장례식장 (삼정동)","055-330-9999","15774129-2025-12-22경남.csv"
"사천공설장례식장","경상남도 사천시 해안관광로 208-66 (송포동, 사천시누리원화장장)","055-831-4594","15774129-2025-12-22경남.csv"
"동마산장례식장","경상남도 창원시 마산회원구 3.15대로 681지하2층 (석전동, 동마산병원)","055-290-5044","15774129-2025-12-22경남.csv"
"시영의료재단 영동병원장례식장","경상남도 함안군 칠원읍 용산2길 45-13 (용산리, 병원)","055-587-4447","15774129-2025-12-22경남.csv"
"장유누가병원 장례식장","경상남도 김해시 대청로104번길 80-1 (대청동,누가병원)","055-332-4000","15774129-2025-12-22경남.csv"
"에스엠(SM)상조온요양병원장례식장","경상남도 사천시 사천읍 구암두문로 154-28 (구암리, 온요양병원)","055-853-5557","15774129-2025-12-22경남.csv"
"진주시민장례식장 (주)휴드림","경상남도 진주시 문산읍 문산순환로 13 (소문리, 진주시민장례식장)","055-762-4444","15774129-2025-12-22경남.csv"
"새롬병원장례식장","경상남도 함안군 칠원읍 예곡1길 13 (예곡리)","055-586-6006","15774129-2025-12-22경남.csv"
"고려병원장례식장","경상남도 통영시 중앙로 310 (무전동, 통영고려병원)","055-643-4444","15774129-2025-12-22경남.csv"
"정다운병원장례식장","경상남도 창원시 마산회원구 봉양로 160 (봉암동)","055-244-4444","15774129-2025-12-22경남.csv"
"고성장례식장화라주식회사","경상남도 고성군 고성읍 상정대로 390 (교사리)","055-672-5000","15774129-2025-12-22경남.csv"
"김해한솔병원장례식장","경상남도 김해시 김해대로 2379 (부원동, 김해한솔재활요양병원)","055-321-6624","15774129-2025-12-22경남.csv"
"경남도립노인전문병원장례식장","경상남도 통영시 도산면 남해안대로 1818 (도선리)","055-640-1919","15774129-2025-12-22경남.csv"
"사천중앙요양병원장례식장","경상남도 사천시 사천읍 옥산로 127 (선인리, 사천중앙병원)","055-851-5444","15774129-2025-12-22경남.csv"
"유한회사 진주중앙장례식장","경상남도 진주시 촉석로 178 (중안동)","055-745-8000","15774129-2025-12-22경남.csv"
"의령사랑병원장례식장","경상남도 의령군 의령읍 의합대로 105-8 (무전리)","055-572-3900","15774129-2025-12-22경남.csv"
"차병원장례식장","경상북도 구미시 신시로10길 12 (형곡동, 차병원)","054-452-1919","15774129-2025-12-22경북.csv"
"고아농협 장례문화원","경상북도 구미시 고아읍 오로4길 112 (오로리)","054-482-7411","15774129-2025-12-22경북.csv"
"안동의료원 장례식장 국화원","경상북도 안동시 태사2길 55,안동의료원 (북문동)","054-850-6440","15774129-2025-12-22경북.csv"
"순천향장례식장","경상북도 구미시 1공단로 179 (공단동, 구미순천향병원)","054-464-4444","15774129-2025-12-22경북.csv"
"남구미요양병원장례식장","경상북도 구미시 금오대로 378 (오태동)","054-716-0044","15774129-2025-12-22경북.csv"
"효사랑요양병원장례식장","경상북도 영천시 금호읍 금호로 484 (신월리, 효사랑요양병원)","054-337-4044","15774129-2025-12-22경북.csv"
"아성병원장례식장","경상북도 구미시 선기로 155-23 (선기동)","054-442-5555","15774129-2025-12-22경북.csv"
"포항시민전문장례식장","경상북도 포항시 북구 새천년대로 1191 (장성동)","054-253-4444","15774129-2025-12-22경북.csv"
"포항성모병원장례식장","경상북도 포항시 남구 대잠동길 17 (대잠동,포항성모병원)","054-260-8048","15774129-2025-12-22경북.csv"
"영천참좋은요양병원장례식장","경상북도 영천시 망정1길 32 (망정동)","054-338-1024","15774129-2025-12-22경북.csv"
"성주효병원장례식장","경상북도 성주군 성주읍 성주순환로 239 (예산리)","054-933-1282","15774129-2025-12-22경북.csv"
"대한적십자사상주병원장례식장","경상북도 상주시 상서문로 53 (남성동, 적십자병원)","054-530-3017","15774129-2025-12-22경북.csv"
"성제장례식장","경상북도 의성군 안계면 안계길 200 (용기리, 성제병원)","054-861-4441","15774129-2025-12-22경북.csv"
"(주)영천장례식장","경상북도 영천시 한방로 35 (도동)","054-332-4000","15774129-2025-12-22경북.csv"
"의성제일장례식장","경상북도 의성군 의성읍 홍술로 94 (원당리)","054-834-4300","15774129-2025-12-22경북.csv"
"경산중앙병원장례식장","경상북도 경산시 경안로 11 (백천동)","053-814-0044","15774129-2025-12-22경북.csv"
"의성성심요양병원장례식장","경상북도 의성군 금성면 탑리길 8-2 (대리리)","054-833-4479","15774129-2025-12-22경북.csv"
"영주적십자병원장례식장","경상북도 영주시 대학로 327 (가흥동, 영주적십자병원)","054-630-0128","15774129-2025-12-22경북.csv"
"자인병원장례식장","경상북도 영주시 대동로31번길 9 (가흥동)","054-635-3400","15774129-2025-12-22경북.csv"
"의성중부농협장례식장","경상북도 의성군 봉양면 강변길 957-10 (화전리)","054-832-2704","15774129-2025-12-22경북.csv"
"봉화군산림조합장례식장","경상북도 봉화군 봉화읍 봉화로 850 (적덕리, 봉화군산림조합장례식장)","054-674-4119","15774129-2025-12-22경북.csv"
"명품병원장례문화원","경상북도 영주시 반지미로 260 (가흥동)","054-634-1444","15774129-2025-12-22경북.csv"
"해성장례식장","경상북도 봉화군 봉화읍 보밑길 3 (내성리)","054-674-0015","15774129-2025-12-22경북.csv"
"하늘전문장례식장","경상북도 영주시 구성로 321-16 (영주동)","054-633-4444","15774129-2025-12-22경북.csv"
"삼성병원장례식장","경상북도 경산시 하양읍 대경로 795 (동서리, 하양삼성병원)","053-854-4444","15774129-2025-12-22경북.csv"
"풍기전문장례식장","경상북도 영주시 풍기읍 안풍로 231 (산법리)","054-637-4442","15774129-2025-12-22경북.csv"
"성누가병원장례식장","경상북도 영주시 구성로 321-12 (영주동)","054-635-4444","15774129-2025-12-22경북.csv"
"기독장례식장","경상북도 영주시 구성로 380 (영주동)","054-631-4444","15774129-2025-12-22경북.csv"
"봉화장례식장","경상북도 봉화군 봉화읍 다덕로 152-1 (유곡리)","054-673-0061","15774129-2025-12-22경북.csv"
"청송군보건의료원장례식장","경상북도 청송군 청송읍 의료원길 19 (금곡리, 청송보건의료원)","054-873-7801","15774129-2025-12-22경북.csv"
"진보병원장례식장","경상북도 청송군 진보면 경동로 4003 (후평리, 진보병원)","054-874-7802","15774129-2025-12-22경북.csv"
"도립노인병원장례식장","경상북도 안동시 남후면 남일로 1463 (무릉리)","054-852-4441","15774129-2025-12-22경북.csv"
"(주)국화원전문장례식장영대병원영천지점","경상북도 영천시 오수1길 10 (오수동)","054-330-7400","15774129-2025-12-22경북.csv"
"진도군산림조합직영추모관장례식장","전라남도 진도군 진도읍 진도대로 7143-10 (쌍정리)","061-543-4040","15774129-2025-12-22전남.csv"
"순천의료원장례식장","전라남도 순천시 서문성터길 2 (매곡동, 순천의료원)","061-759-9090","15774129-2025-12-22전남.csv"
"무안제일병원 무안장례식장","전라남도 무안군 무안읍 무안로 567-1 (성동리)","061-454-9340","15774129-2025-12-22전남.csv"
"장흥병원장례식장","전라남도 장흥군 장흥읍 흥성로 74 (건산리)","061-864-4444","15774129-2025-12-22전남.csv"
"목포성심장례문화원","전라남도 목포시 산계길 4-9 (대양동)","061-261-4444","15774129-2025-12-22전남.csv"
"산림조합 장성장례식장","전라남도 장성군 장성읍 역전로 155 (기산리)","061-394-0444","15774129-2025-12-22전남.csv"
"삼성장례식장","전라남도 완도군 완도읍 농공단지1길 24 (가용리)","061-555-4455","15774129-2025-12-22전남.csv"
"유한회사보람","전라남도 고흥군 고흥읍 고흥로 1935 (남계리)","061-830-3300","15774129-2025-12-22전남.csv"
"목포현대병원장례식장","전라남도 목포시 용당로 322-1 (용해동)","061-270-9708","15774129-2025-12-22전남.csv"
"강진영락장례식장","전라남도 강진군 강진읍 보은로 200 (동성리)","061-433-3950","15774129-2025-12-22전남.csv"
"무안초당병원장례식장","전라남도 무안군 무안읍 성남1길 97-2 (성남리, 동남호텔예식장)","061-454-4040","15774129-2025-12-22전남.csv"
"장성병원장례식장","전라남도 장성군 장성읍 역전로 171 (영천리)","061-393-4444","15774129-2025-12-22전남.csv"
"석곡농협장례식장","전라남도 곡성군 석곡면 주석로 657-5 (석곡리)","061-362-0088","15774129-2025-12-22전남.csv"
"목포기독병원장례식장","전라남도 목포시 백년대로 303 (상동)","061-283-4444","15774129-2025-12-22전남.csv"
"(주)제이엔에이실업","전라남도 화순군 화순읍 중앙로 8 (교리)","061-370-4444","15774129-2025-12-22전남.csv"
"담양동산병원장례식장","전라남도 담양군 담양읍 죽향대로 1203 (백동리)","061-383-0000","15774129-2025-12-22전남.csv"
"강진군산림조합추모관장례식장","전라남도 강진군 강진읍 해강로 1437 (서성리)","061-430-5444","15774129-2025-12-22전남.csv"
"(주)구례장례식장","전라남도 구례군 구례읍 용방로 15 (백련리)","061-782-0444","15774129-2025-12-22전남.csv"
